SWITCH CHANNEL,T100 POWER,T100 WAVELENGTH,BRISTOL WAVELENGTH,POWER METER POWER
3,-1.22,1465,0000.0000,-5.68423
3,-1.2,1466,0000.0000,-5.66085
3,-1.18,1467,0000.0000,-5.64977
3,-1.18,1468,0000.0000,-5.66615
3,-1.2,1469,0000.0000,-5.65656
3,-1.2,1470,0000.0000,-5.6959
3,-1.24,1471,0000.0000,-5.66571
3,-1.2,1472,0000.0000,-5.60226
3,-1.14,1473,0000.0000,-5.68215
3,-1.22,1474,0000.0000,-5.65872
3,-1.2,1475,0000.0000,-5.65605
3,-1.2,1476,0000.0000,-5.62772
3,-1.18,1477,0000.0000,-5.53995
3,-1.09,1478,0000.0000,-5.61851
3,-1.18,1479,0000.0000,-5.67371
3,-1.24,1480,0000.0000,-5.65248
3,-1.22,1481,0000.0000,-5.60751
3,-1.18,1482,0000.0000,-5.64537
3,-1.22,1483,0000.0000,-5.62158
3,-1.2,1484,0000.0000,-5.68234
3,-1.26,1485,0000.0000,-5.64062
3,-1.22,1486,0000.0000,-5.55085
3,-1.14,1487,0000.0000,-5.61249
3,-1.2,1488,0000.0000,-5.63556
3,-1.22,1489,0000.0000,-5.59744
3,-1.18,1490,0000.0000,-5.55628
3,-1.14,1491,0000.0000,-5.5555
3,-1.14,1492,0000.0000,-5.65876
3,-1.24,1493,0000.0000,-5.68108
3,-1.26,1494,0000.0000,-5.64253
3,-1.22,1495,0000.0000,-5.62663
3,-1.2,1496,0000.0000,-5.65044
3,-1.22,1497,0000.0000,-5.66452
3,-1.24,1498,0000.0000,-5.71998
3,-1.31,1499,0000.0000,-5.66781
3,-1.27,1500,1500.6809,-5.62067
3,-1.22,1501,1501.6714,-5.72109
3,-1.33,1502,1502.6671,-5.6173
3,-1.22,1503,1503.6687,-5.70217
3,-1.31,1504,1504.6586,-5.63938
3,-1.24,1505,1505.6505,-5.57821
3,-1.18,1506,1506.6486,-5.68773
3,-1.29,1507,1507.6548,-5.64988
3,-1.24,1508,1508.6490,-5.62606
3,-1.22,1509,1509.6544,-5.58711
3,-1.18,1510,1510.6506,-5.54797
3,-1.14,1511,1511.6514,-5.56332
3,-1.16,1512,1512.6604,-5.66792
3,-1.26,1513,1513.6686,-5.60482
3,-1.2,1514,1514.6718,-5.56338
3,-1.16,1515,1515.6381,-5.67492
3,-1.27,1516,1516.6450,-5.63639
3,-1.22,1517,1517.6366,-5.64995
3,-1.24,1518,1518.6282,-5.60298
3,-1.2,1519,1519.6217,-5.55699
3,-1.16,1520,1520.6239,-5.62267
3,-1.22,1521,1521.6370,-5.66506
3,-1.26,1522,1522.6305,-5.65135
3,-1.24,1523,1523.6356,-5.59873
3,-1.18,1524,1524.6231,-5.60085
3,-1.18,1525,1525.5808,-5.61007
3,-1.18,1526,1526.5779,-5.69517
3,-1.27,1527,1527.5832,-5.65237
3,-1.22,1528,1528.5852,-5.58091
3,-1.16,1529,1529.5875,-5.64323
3,-1.22,1530,1530.5811,-5.64268
3,-1.22,1531,1531.5847,-5.67885
3,-1.27,1532,1532.5900,-5.65669
3,-1.25,1533,1533.5968,-5.6321
3,-1.22,1534,1534.5982,-5.58774
3,-1.18,1535,1535.5651,-5.71451
3,-1.31,1536,1536.5663,-5.67601
3,-1.27,1537,1537.5585,-5.63796
3,-1.22,1538,1538.5589,-5.63554
3,-1.22,1539,1539.5591,-5.61367
3,-1.2,1540,1540.5577,-5.67615
3,-1.27,1541,1541.5543,-5.71516
3,-1.31,1542,1542.5441,-5.65165
3,-1.25,1543,1543.5372,-5.61356
3,-1.2,1544,1544.4906,-5.69598
3,-1.28,1545,1545.4897,-5.6744
3,-1.26,1546,1546.4935,-5.71339
3,-1.31,1547,1547.4905,-5.68595
3,-1.28,1548,1548.4938,-5.6607
3,-1.27,1549,1549.4946,-5.65394
3,-1.27,1550,1550.4946,-5.7589
3,-1.37,1551,1551.4900,-5.71216
3,-1.33,1552,1552.4958,-5.66619
3,-1.29,1553,1553.4645,-5.66615
3,-1.28,1554,1554.4597,-5.62286
3,-1.24,1555,1555.4645,-5.68684
3,-1.31,1556,1556.4593,-5.70499
3,-1.33,1557,1557.4729,-5.6419
3,-1.27,1558,1558.4845,-5.57544
3,-1.2,1559,1559.4919,-5.65307
3,-1.28,1560,1560.4887,-5.60768
3,-1.25,1561,1561.4824,-5.66386
3,-1.31,1562,1562.4493,-5.61646
3,-1.27,1563,1563.4459,-5.58798
3,-1.24,1564,1564.4487,-5.56533
3,-1.22,1565,1565.4535,-5.66642
3,-1.33,1566,1566.4521,-5.62698
3,-1.28,1567,1567.4552,-5.60914
3,-1.26,1568,1568.4588,-5.5891
3,-1.24,1569,1569.4636,-5.54837
3,-1.2,1570,1570.4237,-5.61638
3,-1.27,1571,1571.4160,-5.6595
3,-1.3,1572,1572.4151,-5.61587
3,-1.27,1573,1573.4229,-5.53696
3,-1.18,1574,1574.4239,-5.60798
3,-1.24,1575,1575.4216,-5.59537
