SWITCH CHANNEL,T100 POWER,T100 WAVELENGTH,BRISTOL WAVELENGTH,POWER METER POWER
1,-0.51,1465,0000.0000,-5.74684
1,-0.56,1466,0000.0000,-5.67214
1,-0.49,1467,0000.0000,-5.62663
1,-0.45,1468,0000.0000,-5.63692
1,-0.47,1469,0000.0000,-5.69853
1,-0.54,1470,0000.0000,-5.69565
1,-0.54,1471,0000.0000,-5.65036
1,-0.48,1472,0000.0000,-5.58287
1,-0.41,1473,0000.0000,-5.64903
1,-0.49,1474,0000.0000,-5.61394
1,-0.45,1475,0000.0000,-5.64459
1,-0.49,1476,0000.0000,-5.61989
1,-0.47,1477,0000.0000,-5.57841
1,-0.44,1478,0000.0000,-5.5748
1,-0.43,1479,0000.0000,-5.53313
1,-0.4,1480,0000.0000,-5.61622
1,-0.49,1481,0000.0000,-5.56249
1,-0.43,1482,0000.0000,-5.6279
1,-0.5,1483,0000.0000,-5.58958
1,-0.47,1484,0000.0000,-5.6565
1,-0.54,1485,0000.0000,-5.60218
1,-0.48,1486,0000.0000,-5.40563
1,-0.3,1487,0000.0000,-5.62886
1,-0.52,1488,0000.0000,-5.59252
1,-0.48,1489,0000.0000,-5.62844
1,-0.52,1490,0000.0000,-5.5922
1,-0.49,1491,0000.0000,-5.51932
1,-0.42,1492,0000.0000,-5.62269
1,-0.52,1493,0000.0000,-5.63935
1,-0.54,1494,0000.0000,-5.60396
1,-0.5,1495,0000.0000,-5.59004
1,-0.48,1496,0000.0000,-5.58935
1,-0.48,1497,0000.0000,-5.63593
1,-0.54,1498,0000.0000,-5.69701
1,-0.62,1499,0000.0000,-5.63124
1,-0.56,1500,1500.6942,-5.58697
1,-0.52,1501,1501.6790,-5.69005
1,-0.63,1502,1502.6800,-5.52719
1,-0.47,1503,1503.6814,-5.65151
1,-0.59,1504,1504.6702,-5.51023
1,-0.45,1505,1505.6632,-5.54335
1,-0.48,1506,1506.6650,-5.65618
1,-0.6,1507,1507.6657,-5.62074
1,-0.56,1508,1508.6633,-5.59763
1,-0.54,1509,1509.6682,-5.54749
1,-0.48,1510,1510.6691,-5.54837
1,-0.48,1511,1511.6645,-5.57972
1,-0.52,1512,1512.6378,-5.63248
1,-0.57,1513,1513.6372,-5.57833
1,-0.52,1514,1514.6451,-5.52492
1,-0.47,1515,1515.6499,-5.62091
1,-0.56,1516,1516.6546,-5.58792
1,-0.52,1517,1517.6446,-5.6181
1,-0.56,1518,1518.6418,-5.57686
1,-0.52,1519,1519.6296,-5.52054
1,-0.47,1520,1520.6379,-5.57634
1,-0.52,1521,1521.6078,-5.61439
1,-0.56,1522,1522.6106,-5.60515
1,-0.54,1523,1523.6048,-5.5628
1,-0.48,1524,1524.5995,-5.60333
1,-0.52,1525,1525.5888,-5.56197
1,-0.47,1526,1526.5865,-5.67218
1,-0.58,1527,1527.5938,-5.61913
1,-0.52,1528,1528.5945,-5.5425
1,-0.45,1529,1529.5984,-5.595
1,-0.5,1530,1530.5589,-5.61478
1,-0.52,1531,1531.5584,-5.62757
1,-0.54,1532,1532.5636,-5.62882
1,-0.54,1533,1533.5697,-5.60798
1,-0.52,1534,1534.5809,-5.55486
1,-0.47,1535,1535.5826,-5.68188
1,-0.59,1536,1536.5766,-5.6316
1,-0.54,1537,1537.5774,-5.59826
1,-0.51,1538,1538.5744,-5.5974
1,-0.5,1539,1539.5727,-5.5636
1,-0.47,1540,1540.5345,-5.61628
1,-0.52,1541,1541.5349,-5.66622
1,-0.57,1542,1542.5286,-5.6122
1,-0.52,1543,1543.5117,-5.56213
1,-0.47,1544,1544.4994,-5.64829
1,-0.56,1545,1545.4983,-5.61075
1,-0.52,1546,1546.5055,-5.67752
1,-0.59,1547,1547.5045,-5.63393
1,-0.56,1548,1548.5015,-5.60899
1,-0.54,1549,1549.5053,-5.60175
1,-0.54,1550,1550.4721,-5.70639
1,-0.65,1551,1551.4704,-5.62926
1,-0.57,1552,1552.4745,-5.62354
1,-0.57,1553,1553.4723,-5.60435
1,-0.56,1554,1554.4722,-5.5653
1,-0.52,1555,1555.4765,-5.63527
1,-0.59,1556,1556.4823,-5.64902
1,-0.61,1557,1557.4860,-5.59318
1,-0.56,1558,1558.4566,-5.51609
1,-0.49,1559,1559.4701,-5.59763
1,-0.57,1560,1560.4679,-5.55483
1,-0.54,1561,1561.4637,-5.60237
1,-0.6,1562,1562.4638,-5.55935
1,-0.56,1563,1563.4652,-5.53332
1,-0.54,1564,1564.4625,-5.51041
1,-0.52,1565,1565.4585,-5.61311
1,-0.63,1566,1566.4262,-5.56061
1,-0.58,1567,1567.4283,-5.56333
1,-0.58,1568,1568.4356,-5.52646
1,-0.54,1569,1569.4360,-5.51062
1,-0.52,1570,1570.4328,-5.569
1,-0.57,1571,1571.4316,-5.60657
1,-0.61,1572,1572.4286,-5.55053
1,-0.56,1573,1573.4340,-5.50224
1,-0.5,1574,1574.4314,-5.56364
1,-0.56,1575,1575.4277,-5.53614
