Desired T100 Wavelength,Actual T100 Wavelength,Desired T100 Output Power,Actual T100 Output Power,Power Meter Wavelength Setting,Power Meter Reading
1250,1360,0,-0.02,1250,-0.0783509,
1250,1360,2,1.99,1250,2.37502,
1250,1360,4,3.99,1250,4.37531,
1250,1360,6,5.99,1250,6.37754,
1250,1360,8,7.99,1250,8.38316,
1251,1360,0,-0.01,1251,0.374412,
1251,1360,2,1.99,1251,2.37474,
1251,1360,4,3.99,1251,4.37345,
1251,1360,6,5.99,1251,6.37528,
1251,1360,8,8,1251,8.37996,
1252,1360,0,-0.01,1252,0.374337,
1252,1360,2,1.99,1252,2.37188,
1252,1360,4,3.99,1252,4.37061,
1252,1360,6,5.99,1252,6.37234,
1252,1360,8,7.99,1252,8.37748,
1253,1360,0,-0.01,1253,0.372161,
1253,1360,2,1.99,1253,2.36689,
1253,1360,4,3.99,1253,4.36562,
1253,1360,6,5.99,1253,6.36728,
1253,1360,8,7.99,1253,8.37255,
1254,1360,0,-0.01,1254,0.367255,
1254,1360,2,1.99,1254,2.36164,
1254,1360,4,3.99,1254,4.3604,
1254,1360,6,5.99,1254,6.36189,
1254,1360,8,7.99,1254,8.36706,
1255,1360,0,-0.01,1255,0.361205,
1255,1360,2,1.99,1255,2.35875,
1255,1360,4,3.99,1255,4.35755,
1255,1360,6,6,1255,6.35871,
1255,1360,8,8,1255,8.36419,
1256,1360,0,-0.01,1256,0.355254,
1256,1360,2,1.99,1256,2.35562,
1256,1360,4,3.99,1256,4.35455,
1256,1360,6,5.99,1256,6.35577,
1256,1360,8,8,1256,8.36179,
1257,1360,0,-0.01,1257,0.355862,
1257,1360,2,1.99,1257,2.35131,
1257,1360,4,3.99,1257,4.35054,
1257,1360,6,5.99,1257,6.3521,
1257,1360,8,7.99,1257,8.35708,
1258,1360,0,-0.01,1258,0.347479,
1258,1360,2,1.99,1258,2.34743,
1258,1360,4,3.99,1258,4.34614,
1258,1360,6,5.99,1258,6.34772,
1258,1360,8,7.99,1258,8.3533,
1259,1360,0,-0.01,1259,0.3478,
1259,1360,2,1.99,1259,2.34402,
1259,1360,4,3.99,1259,4.34264,
1259,1360,6,5.99,1259,6.34393,
1259,1360,8,8,1259,8.34954,
1260,1260,0,-0.01,1260,-0.0364614,
1260,1260,2,1.99,1260,1.95983,
1260,1260,4,3.99,1260,3.95693,
1260,1260,6,5.99,1260,5.95697,
1260,1260,8,7.99,1260,7.96093,
1261,1261,0,-0.01,1261,-0.023908,
1261,1261,2,1.99,1261,1.96725,
1261,1261,4,3.99,1261,3.96347,
1261,1261,6,5.99,1261,5.96273,
1261,1261,8,7.99,1261,7.96618,
1262,1262,0,-0.01,1262,-0.031636,
1262,1262,2,1.99,1262,1.96333,
1262,1262,4,3.99,1262,3.95925,
1262,1262,6,5.99,1262,5.95859,
1262,1262,8,7.99,1262,7.96205,
1263,1263,0,-0.01,1263,-0.0260099,
1263,1263,2,1.99,1263,1.96507,
1263,1263,4,3.99,1263,3.96124,
1263,1263,6,5.99,1263,5.96085,
1263,1263,8,7.99,1263,7.96455,
1264,1264,0,-0.01,1264,-0.0281451,
1264,1264,2,1.99,1264,1.96293,
1264,1264,4,3.99,1264,3.95913,
1264,1264,6,5.99,1264,5.95862,
1264,1264,8,7.99,1264,7.96253,
1265,1265,0,-0.01,1265,-0.0270123,
1265,1265,2,1.99,1265,1.9653,
1265,1265,4,3.99,1265,3.96121,
1265,1265,6,5.99,1265,5.96055,
1265,1265,8,7.99,1265,7.9645,
1266,1266,0,-0.01,1266,-0.0261991,
1266,1266,2,1.99,1266,1.96653,
1266,1266,4,3.99,1266,3.96269,
1266,1266,6,5.99,1266,5.96207,
1266,1266,8,8,1266,7.96618,
1267,1267,0,-0.01,1267,-0.030818,
1267,1267,2,1.99,1267,1.96474,
1267,1267,4,3.99,1267,3.96097,
1267,1267,6,5.99,1267,5.9604,
1267,1267,8,7.99,1267,7.96434,
1268,1268,0,-0.01,1268,-0.0290667,
1268,1268,2,1.99,1268,1.96284,
1268,1268,4,3.99,1268,3.95965,
1268,1268,6,5.99,1268,5.95956,
1268,1268,8,8,1268,7.96394,
1269,1269,0,-0.01,1269,-0.0287821,
1269,1269,2,1.99,1269,1.96358,
1269,1269,4,3.99,1269,3.9603,
1269,1269,6,5.99,1269,5.95996,
1269,1269,8,8,1269,7.96455,
1270,1270,0,-0.01,1270,-0.0282063,
1270,1270,2,1.99,1270,1.96393,
1270,1270,4,3.99,1270,3.96034,
1270,1270,6,5.99,1270,5.95999,
1270,1270,8,8,1270,7.96426,
1271,1271,0,-0.01,1271,-0.0311688,
1271,1271,2,1.99,1271,1.96155,
1271,1271,4,3.99,1271,3.95804,
1271,1271,6,5.99,1271,5.95767,
1271,1271,8,7.99,1271,7.96227,
1272,1272,0,-0.01,1272,-0.0332427,
1272,1272,2,1.99,1272,1.95979,
1272,1272,4,3.99,1272,3.95635,
1272,1272,6,5.99,1272,5.95612,
1272,1272,8,8,1272,7.96063,
1273,1273,0,-0.01,1273,-0.0394164,
1273,1273,2,1.99,1273,1.95173,
1273,1273,4,3.99,1273,3.94866,
1273,1273,6,5.99,1273,5.94853,
1273,1273,8,7.99,1273,7.95313,
