Desired T100 Wavelength,Actual T100 Wavelength,Desired T100 Output Power,Actual T100 Output Power,Power Meter Wavelength Setting,Power Meter Reading
1577,1577,2,2,1577,-59.0479,
1577,1577,4,4,1577,-59.0477,
1577,1577,6,6,1577,-59.0486,
1577,1577,8,8,1577,-59.048,
1578,1578,0,0,1578,-59.0492,
1578,1578,2,2,1578,-59.052,
1578,1578,4,4,1578,-59.0486,
1578,1578,6,6,1578,-59.0499,
1578,1578,8,8,1578,-59.0492,
1579,1579,0,0,1579,-59.0511,
1579,1579,2,2,1579,-59.0484,
1579,1579,4,4,1579,-59.0479,
1579,1579,6,6,1579,-59.0481,
1579,1579,8,8,1579,-59.0499,
1580,1580,0,0,1580,-59.0468,
1580,1580,2,2,1580,-59.0464,
1580,1580,4,4,1580,-59.0475,
1580,1580,6,6,1580,-59.0458,
1580,1580,8,8,1580,-59.0458,
1581,1581,0,0,1581,-59.0458,
1581,1581,2,2,1581,-59.0457,
1581,1581,4,4,1581,-59.0475,
1581,1581,6,6,1581,-59.0457,
1581,1581,8,8,1581,-59.0453,
1582,1582,0,0,1582,-59.0454,
1582,1582,2,2,1582,-59.0463,
1582,1582,4,4,1582,-59.0468,
1582,1582,6,6,1582,-59.0466,
1582,1582,8,8,1582,-59.0472,
1583,1583,0,0,1583,-59.0471,
1583,1583,2,2,1583,-59.0472,
1583,1583,4,4,1583,-59.0461,
1583,1583,6,6,1583,-59.0464,
1583,1583,8,8,1583,-59.0467,
1584,1584,0,0,1584,-59.0474,
1584,1584,2,2,1584,-59.048,
1584,1584,4,4,1584,-59.0474,
1584,1584,6,6,1584,-59.048,
1584,1584,8,8,1584,-59.0484,
1585,1585,0,0,1585,-59.0473,
1585,1585,2,2,1585,-59.049,
1585,1585,4,4,1585,-59.0465,
1585,1585,6,6,1585,-59.046,
1585,1585,8,8,1585,-59.0462,
1586,1586,0,0,1586,-59.0453,
1586,1586,2,2,1586,-59.0462,
1586,1586,4,4,1586,-59.0446,
1586,1586,6,6,1586,-59.0456,
1586,1586,8,8,1586,-59.0473,
1587,1587,0,0,1587,-59.0461,
1587,1587,2,2,1587,-59.0432,
1587,1587,4,4,1587,-59.0449,
1587,1587,6,6,1587,-59.0465,
1587,1587,8,8,1587,-59.0458,
1588,1588,0,0,1588,-59.045,
1588,1588,2,2,1588,-59.0458,
1588,1588,4,4,1588,-59.0464,
1588,1588,6,6,1588,-59.0476,
1588,1588,8,8,1588,-59.0455,
1589,1589,0,0,1589,-59.0459,
1589,1589,2,2,1589,-59.0443,
1589,1589,4,4,1589,-59.043,
1589,1589,6,6,1589,-59.0435,
1589,1589,8,8,1589,-59.0441,
1590,1590,0,0,1590,-59.0462,
1590,1590,2,2,1590,-59.0449,
1590,1590,4,4,1590,-59.0431,
1590,1590,6,6,1590,-59.0435,
1590,1590,8,8,1590,-59.0442,
1591,1591,0,0,1591,-59.0473,
1591,1591,2,2,1591,-59.0428,
1591,1591,4,4,1591,-59.0439,
1591,1591,6,6,1591,-59.0428,
1591,1591,8,8,1591,-59.042,
1592,1592,0,0,1592,-59.0431,
1592,1592,2,2,1592,-59.0439,
1592,1592,4,4,1592,-59.0432,
1592,1592,6,6,1592,-59.0432,
1592,1592,8,8,1592,-59.0425,
1593,1593,0,0,1593,-59.0436,
1593,1593,2,2,1593,-59.0427,
1593,1593,4,4,1593,-59.0419,
1593,1593,6,6,1593,-59.0426,
1593,1593,8,8,1593,-59.0446,
1594,1594,0,0,1594,-59.0413,
1594,1594,2,2,1594,-59.0416,
1594,1594,4,4,1594,-59.0429,
1594,1594,6,6,1594,-59.0439,
1594,1594,8,8,1594,-59.0429,
1595,1595,0,0,1595,-59.0425,
1595,1595,2,2,1595,-59.0399,
1595,1595,4,4,1595,-59.0401,
1595,1595,6,6,1595,-59.0396,
1595,1595,8,8,1595,-59.0398,
1596,1596,0,0,1596,-59.0399,
1596,1596,2,2,1596,-59.0356,
1596,1596,4,4,1596,-59.0365,
1596,1596,6,6,1596,-59.0362,
1596,1596,8,8,1596,-59.0369,
1597,1597,0,0,1597,-59.0359,
1597,1597,2,2,1597,-59.0353,
1597,1597,4,4,1597,-59.0352,
1597,1597,6,6,1597,-59.0347,
1597,1597,8,8,1597,-59.0352,
1598,1598,0,0,1598,-59.0343,
1598,1598,2,2,1598,-59.0339,
1598,1598,4,4,1598,-59.0343,
1598,1598,6,6,1598,-59.034,
1598,1598,8,8,1598,-59.0329,
1599,1599,0,0,1599,-59.03,
1599,1599,2,2,1599,-59.033,
1599,1599,4,4,1599,-59.0329,
1599,1599,6,6,1599,-59.0335,
1599,1599,8,8,1599,-59.0318,
1600,1600,0,0,1600,-59.0304,
1600,1600,2,2,1600,-59.0321,
1600,1600,4,4,1600,-59.0312,
1600,1600,6,6,1600,-59.0324,
1600,1600,8,8,1600,-59.032,
1601,1601,0,0,1601,-59.03,
1601,1601,2,2,1601,-59.028,
1601,1601,4,4,1601,-59.0283,
1601,1601,6,6,1601,-59.0285,
1601,1601,8,8,1601,-59.0284,
1602,1602,0,0,1602,-59.0283,
1602,1602,2,2,1602,-59.0255,
1602,1602,4,4,1602,-59.0259,
1602,1602,6,6,1602,-59.0233,
1602,1602,8,8,1602,-59.0256,
1603,1603,0,0,1603,-59.0261,
1603,1603,2,2,1603,-59.0225,
1603,1603,4,4,1603,-59.0233,
1603,1603,6,6,1603,-59.0228,
1603,1603,8,8,1603,-59.0246,
1604,1604,0,0,1604,-59.023,
1604,1604,2,2,1604,-59.0212,
1604,1604,4,4,1604,-59.0206,
1604,1604,6,6,1604,-59.0234,
1604,1604,8,8,1604,-59.0206,
1605,1605,0,0,1605,-59.0188,
1605,1605,2,2,1605,-59.0182,
1605,1605,4,4,1605,-59.0171,
1605,1605,6,6,1605,-59.0191,
1605,1605,8,8,1605,-59.0165,
1606,1606,0,0,1606,-59.0199,
1606,1606,2,2,1606,-59.016,
1606,1606,4,4,1606,-59.0154,
1606,1606,6,6,1606,-59.0166,
1606,1606,8,8,1606,-59.0147,
1607,1607,0,0,1607,-59.0151,
1607,1607,2,2,1607,-59.0143,
1607,1607,4,4,1607,-59.0137,
1607,1607,6,6,1607,-59.0135,
1607,1607,8,8,1607,-59.0117,
1608,1608,0,0,1608,-59.0131,
1608,1608,2,2,1608,-59.01,
1608,1608,4,4,1608,-59.0115,
1608,1608,6,6,1608,-59.0103,
1608,1608,8,8,1608,-59.01,
1609,1609,0,0,1609,-59.0114,
1609,1609,2,2,1609,-59.0091,
1609,1609,4,4,1609,-59.0077,
1609,1609,6,6,1609,-59.0081,
1609,1609,8,8,1609,-59.009,
1610,1610,0,0,1610,-59.0073,
1610,1610,2,2,1610,-59.0045,
1610,1610,4,4,1610,-59.0068,
1610,1610,6,6,1610,-59.0049,
1610,1610,8,8,1610,-59.0043,
1611,1611,0,0,1611,-59.0056,
1611,1611,2,2,1611,-59.0034,
1611,1611,4,4,1611,-59.0032,
1611,1611,6,6,1611,-59.0025,
1611,1611,8,8,1611,-59.0021,
1612,1612,0,0,1612,-59.0024,
1612,1612,2,2,1612,-59.0004,
1612,1612,4,4,1612,-59.0006,
1612,1612,6,6,1612,-58.9996,
1612,1612,8,8,1612,-59.0007,
1613,1613,0,0,1613,-58.9951,
1613,1613,2,2,1613,-58.9934,
1613,1613,4,4,1613,-58.9949,
1613,1613,6,6,1613,-58.9939,
1613,1613,8,8,1613,-58.9946,
1614,1614,0,0,1614,-58.995,
1614,1614,2,2,1614,-58.9895,
1614,1614,4,4,1614,-58.9869,
1614,1614,6,6,1614,-58.9894,
1614,1614,8,8,1614,-58.9883,
1615,1615,0,0,1615,-58.9889,
1615,1615,2,2,1615,-58.9855,
1615,1615,4,4,1615,-58.9862,
1615,1615,6,6,1615,-58.9865,
1615,1615,8,8,1615,-58.9855,
1616,1616,0,0,1616,-58.986,
1616,1616,2,2,1616,-58.9831,
1616,1616,4,4,1616,-58.9844,
1616,1616,6,6,1616,-58.9837,
1616,1616,8,8,1616,-58.9852,
1617,1617,0,0,1617,-58.9844,
1617,1617,2,2,1617,-58.9786,
1617,1617,4,4,1617,-58.9791,
1617,1617,6,6,1617,-58.9795,
1617,1617,8,8,1617,-58.9806,
1618,1618,0,0,1618,-58.9808,
1618,1618,2,2,1618,-58.9753,
1618,1618,4,4,1618,-58.9755,
1618,1618,6,6,1618,-58.9742,
1618,1618,8,8,1618,-58.9753,
1619,1619,0,0,1619,-58.9745,
1619,1619,2,2,1619,-58.9699,
1619,1619,4,4,1619,-58.9716,
1619,1619,6,6,1619,-58.9721,
1619,1619,8,8,1619,-58.9712,
1620,1620,0,0,1620,-58.97,
1620,1620,2,2,1620,-58.9697,
1620,1620,4,4,1620,-58.9692,
1620,1620,6,6,1620,-58.9693,
1620,1620,8,8,1620,-58.9682,
1621,1621,0,0,1621,-58.969,
1621,1621,2,2,1621,-58.9658,
1621,1621,4,4,1621,-58.9664,
1621,1621,6,6,1621,-58.9664,
1621,1621,8,8,1621,-58.9665,
1622,1622,0,0,1622,-58.9662,
1622,1622,2,2,1622,-58.9616,
1622,1622,4,4,1622,-58.9624,
1622,1622,6,6,1622,-58.9617,
1622,1622,8,8,1622,-58.9611,
1623,1623,0,0,1623,-58.9649,
1623,1623,2,2,1623,-58.956,
1623,1623,4,4,1623,-58.9553,
1623,1623,6,6,1623,-58.9558,
1623,1623,8,8,1623,-58.9546,
1624,1624,0,0,1624,-58.9553,
1624,1624,2,2,1624,-58.9515,
1624,1624,4,4,1624,-58.95,
1624,1624,6,6,1624,-58.9515,
1624,1624,8,8,1624,-58.9509,
1625,1625,0,0,1625,-58.9502,
1625,1625,2,2,1625,-58.9463,
1625,1625,4,4,1625,-58.9482,
1625,1625,6,6,1625,-58.9463,
1625,1625,8,8,1625,-58.9483,
1626,1626,0,0,1626,-58.9472,
1626,1626,2,2,1626,-58.9424,
1626,1626,4,4,1626,-58.942,
1626,1626,6,6,1626,-58.9425,
1626,1626,8,8,1626,-58.9432,
1627,1627,0,0,1627,-58.9432,
1627,1627,2,2,1627,-58.9393,
1627,1627,4,4,1627,-58.9364,
1627,1627,6,6,1627,-58.9396,
1627,1627,8,8,1627,-58.9378,
1628,1628,0,0,1628,-58.9319,
1628,1628,2,2,1628,-58.9336,
1628,1628,4,4,1628,-58.9336,
1628,1628,6,6,1628,-58.9332,
1628,1628,8,8,1628,-58.9333,
1629,1629,0,0,1629,-58.9326,
1629,1629,2,2,1629,-58.9254,
1629,1629,4,4,1629,-58.9253,
1629,1629,6,6,1629,-58.9262,
1629,1629,8,8,1629,-58.9256,
1630,1630,0,0,1630,-58.9264,
1630,1630,2,2,1630,-58.9185,
1630,1630,4,4,1630,-58.9183,
1630,1630,6,6,1630,-58.9186,
1630,1630,8,8,1630,-58.9187,
1631,1631,0,-0.01,1631,-58.9177,
1631,1631,2,2,1631,-58.9123,
1631,1631,4,4,1631,-58.913,
1631,1631,6,6,1631,-58.9118,
1631,1631,8,8,1631,-58.9112,
1632,1632,0,-0.01,1632,-58.9111,
1632,1632,2,2,1632,-58.9064,
1632,1632,4,4,1632,-58.9054,
1632,1632,6,6,1632,-58.9062,
1632,1632,8,8,1632,-58.9054,
1633,1633,0,0,1633,-58.905,
1633,1633,2,2,1633,-58.8994,
1633,1633,4,4,1633,-58.8971,
1633,1633,6,6,1633,-58.8993,
1633,1633,8,8,1633,-58.9004,
1634,1634,0,0,1634,-58.8985,
1634,1634,2,2,1634,-58.8918,
1634,1634,4,4,1634,-58.8918,
1634,1634,6,6,1634,-58.8908,
1634,1634,8,8,1634,-58.8908,
1635,1635,0,0,1635,-58.892,
1635,1635,2,2,1635,-58.8858,
1635,1635,4,4,1635,-58.8847,
1635,1635,6,6,1635,-58.8857,
1635,1635,8,8,1635,-58.8857,
