Desired T100 Wavelength,Actual T100 Wavelength,Desired T100 Output Power,Actual T100 Output Power,Power Meter Wavelength Setting,Power Meter Reading
1350,1470,-7,8,1350,7.78968,
1350,1470,-6,-5.97,1350,-5.66236,
1350,1470,-5,-5.02,1350,-4.70696,
1350,1470,-4,-4,1350,-3.67883,
1350,1470,-3,-3,1350,-2.68612,
1350,1470,-2,-2.01,1350,-1.69912,
1350,1470,-1,-1,1350,-0.689036,
1350,1470,0,0,1350,0.307248,
1350,1470,1,1.01,1350,1.31108,
1350,1470,2,2.01,1350,2.31024,
1350,1470,3,3.01,1350,3.30881,
1350,1470,4,4,1350,4.30837,
1350,1470,5,5,1350,5.30514,
1350,1470,6,6,1350,6.30647,
1355,1470,-7,6,1355,6.3065,
1355,1470,-6,-5.97,1355,-5.68267,
1355,1470,-5,-5.02,1355,-4.72901,
1355,1470,-4,-3.99,1355,-3.7018,
1355,1470,-3,-3,1355,-2.70972,
1355,1470,-2,-2.01,1355,-1.72302,
1355,1470,-1,-1,1355,-0.713163,
1355,1470,0,0,1355,0.282918,
1355,1470,1,1.01,1355,1.28658,
1355,1470,2,2.01,1355,2.28566,
1355,1470,3,3.01,1355,3.28391,
1355,1470,4,4,1355,4.28352,
1355,1470,5,5,1355,5.28027,
1355,1470,6,6,1355,6.28155,
1360,1360,-7,6,1360,5.93362,
1360,1360,-6,-5.96,1360,-6.02849,
1360,1360,-5,-5.02,1360,-5.08373,
1360,1360,-4,-3.99,1360,-4.06107,
1360,1360,-3,-3,1360,-3.07171,
1360,1360,-2,-2.01,1360,-2.08705,
1360,1360,-1,-1,1360,-1.07861,
1360,1360,0,0,1360,-0.0838138,
1360,1360,1,1.01,1360,0.918842,
1360,1360,2,2,1360,1.91709,
1360,1360,3,3,1360,2.91477,
1360,1360,4,4,1360,3.9133,
1360,1360,5,5,1360,4.90862,
1360,1360,6,6,1360,5.90616,
1365,1365,-7,6,1365,5.93869,
1365,1365,-6,-5.96,1365,-6.01205,
1365,1365,-5,-5.02,1365,-5.06927,
1365,1365,-4,-3.99,1365,-4.0483,
1365,1365,-3,-2.99,1365,-3.06015,
1365,1365,-2,-2.01,1365,-2.07636,
1365,1365,-1,-1,1365,-1.06875,
1365,1365,0,0,1365,-0.0743491,
1365,1365,1,1.01,1365,0.928132,
1365,1365,2,2.01,1365,1.92622,
1365,1365,3,3.01,1365,2.92393,
1365,1365,4,4,1365,3.92273,
1365,1365,5,5,1365,4.91878,
1365,1365,6,6,1365,5.91905,
1370,1370,-7,6,1370,5.94118,
1370,1370,-6,-5.97,1370,-6.02699,
1370,1370,-5,-5.01,1370,-5.08014,
1370,1370,-4,-3.99,1370,-4.05736,
1370,1370,-3,-2.99,1370,-3.06838,
1370,1370,-2,-2.01,1370,-2.08395,
1370,1370,-1,-0.99,1370,-1.07572,
1370,1370,0,0,1370,-0.080824,
1370,1370,1,1.01,1370,0.921997,
1370,1370,2,2,1370,1.92043,
1370,1370,3,3,1370,2.91841,
1370,1370,4,4,1370,3.91751,
1370,1370,5,5,1370,4.91399,
1370,1370,6,6,1370,5.91498,
1375,1375,-7,6,1375,5.93196,
1375,1375,-6,-5.96,1375,-6.03777,
1375,1375,-5,-5.02,1375,-5.0902,
1375,1375,-4,-3.99,1375,-4.06744,
1375,1375,-3,-3,1375,-3.07848,
1375,1375,-2,-2.01,1375,-2.09414,
1375,1375,-1,-0.99,1375,-1.08601,
1375,1375,0,0,1375,-0.0911613,
