T100 Wavelength,Desired T100 Output Power,T100 Output Power,Power Meter Wavelength,Power Meter Reading
1470,-6.4,-6.39,1355,-84.6014,
1470,-6.3,-6.32,1355,-84.6575,
1470,-6.2,-6.23,1355,-84.5039,
1470,-6.1,-6.1,1355,-84.5193,
1470,-6,-5.99,1355,-84.6734,
1470,-5.9,-5.91,1355,-84.7216,
1470,-5.8,-5.79,1355,-84.7614,
1470,-5.7,-5.73,1355,-84.8574,
1470,-5.6,-5.63,1355,-84.5474,
1470,-5.5,-5.51,1355,-84.6822,
1470,-5.4,-5.4,1355,-84.6546,
1470,-5.3,-5.28,1355,-84.6938,
1470,-5.2,-5.22,1355,-84.224,
1470,-5.1,-5.13,1355,-84.5658,
1470,-5,-5.02,1355,-84.9045,
1470,-4.9,-4.93,1355,-85.0021,
1470,-4.8,-4.82,1355,-84.9647,
1470,-4.7,-4.69,1355,-84.2714,
1470,-4.6,-4.59,1355,-84.4609,
1470,-4.5,-4.51,1355,-84.7157,
1470,-4.4,-4.42,1355,-84.5757,
1470,-4.3,-4.32,1355,-84.4706,
1470,-4.2,-4.2,1355,-84.532,
1470,-4.1,-4.11,1355,-84.0407,
1470,-4,-3.99,1355,-84.6272,
1470,-3.9,-3.92,1355,-84.7807,
1470,-3.8,-3.8,1355,-84.245,
1470,-3.7,-3.72,1355,-84.8031,
1470,-3.6,-3.62,1355,-84.5942,
1470,-3.5,-3.5,1355,-84.5081,
1470,-3.4,-3.39,1355,-84.6516,
1470,-3.3,-3.29,1355,-84.1013,
1470,-3.2,-3.2,1355,-84.6938,
1470,-3.1,-3.09,1355,-84.4941,
1470,-3,-3,1355,-83.9194,
1470,-2.9,-2.9,1355,-84.5291,
1470,-2.8,-2.81,1355,-84.62,
1470,-2.7,-2.69,1355,-85.0716,
1470,-2.6,-2.6,1355,-84.2529,
1470,-2.5,-2.49,1355,-84.8272,
1470,-2.4,-2.4,1355,-84.278,
1470,-2.3,-2.29,1355,-84.5743,
1470,-2.2,-2.21,1355,-84.5928,
1470,-2.1,-2.11,1355,-84.5986,
1470,-2,-2.01,1355,-84.4127,
1470,-1.9,-1.91,1355,-84.7348,
1470,-1.8,-1.81,1355,-84.6647,
1470,-1.7,-1.69,1355,-84.7748,
1470,-1.6,-1.6,1355,-84.2701,
1470,-1.5,-1.5,1355,-84.8878,
1470,-1.4,-1.39,1355,-84.7882,
1470,-1.3,-1.31,1355,-84.4401,
1470,-1.2,-1.2,1355,-84.4018,
1470,-1.1,-1.1,1355,-84.2741,
1470,-1,-1,1355,-84.4844,
1470,-0.9,-0.9,1355,-84.4401,
1470,-0.8,-0.8,1355,-84.3719,
1470,-0.7,-0.71,1355,-84.5814,
1470,-0.6,-0.6,1355,-84.7216,
1470,-0.5,-0.5,1355,-84.6415,
1470,-0.4,-0.4,1355,-84.3678,
1470,-0.3,-0.3,1355,-84.6662,
1470,-0.2,-0.2,1355,-84.4429,
1470,-0.1,-0.1,1355,-84.5644,
1470,-8.13238e-15,-0.1,1355,-84.5771,
1470,0.1,0.09,1355,-84.4775,
1470,0.2,0.2,1355,-84.4387,
1470,0.3,0.31,1355,-83.8986,
1470,0.4,0.39,1355,-84.9399,
1470,0.5,0.5,1355,-84.59,
1470,0.6,0.6,1355,-84.5236,
1470,0.7,0.7,1355,-84.3773,
1470,0.8,0.8,1355,-84.3746,
1470,0.9,0.9,1355,-84.104,
1470,1,1.01,1355,-84.4264,
1470,1.1,1.11,1355,-84.5857,
1470,1.2,1.2,1355,-84.4927,
1470,1.3,1.3,1355,-84.4004,
1470,1.4,1.4,1355,-84.5362,
1470,1.5,1.51,1355,-84.3436,
1470,1.6,1.61,1355,-84.9092,
1470,1.7,1.7,1355,-84.874,
1470,1.8,1.8,1355,-84.6546,
1470,1.9,1.9,1355,-85.0069,
1470,2,2,1355,-84.5067,
1470,2.1,2.1,1355,-84.7482,
1470,2.2,2.2,1355,-84.4018,
1470,2.3,2.31,1355,-84.6114,
1470,2.4,2.4,1355,-84.9153,
1470,2.5,2.5,1355,-84.4031,
1470,2.6,2.6,1355,-84.539,
1470,2.7,2.7,1355,-85.1326,
1470,2.8,2.8,1355,-84.8316,
1470,2.9,2.9,1355,-84.6387,
1470,3,3,1355,-84.5123,
1470,3.1,3.1,1355,-84.4526,
1470,3.2,3.2,1355,-84.8226,
1470,3.3,3.3,1355,-84.8543,
1470,3.4,3.4,1355,-84.63,
1470,3.5,3.5,1355,-84.4333,
1470,3.6,3.6,1355,-84.4663,
1470,3.7,3.7,1355,-84.0382,
1470,3.8,3.8,1355,-84.5956,
1470,3.9,3.9,1355,-84.6028,
1470,4,4,1355,-84.7245,
1470,4.1,4.1,1355,-84.7069,
1470,4.2,4.2,1355,-84.6042,
1470,4.3,4.3,1355,-85.0668,
1470,4.4,4.4,1355,-84.8938,
1470,4.5,4.5,1355,-84.8665,
1470,4.6,4.6,1355,-85.0256,
1470,4.7,4.7,1355,-85.0859,
1470,4.8,4.8,1355,-85.1519,
1470,4.9,4.9,1355,-84.4168,
1470,5,5,1355,-85.0399,
1470,5.1,5.1,1355,-84.7377,
1470,5.2,5.2,1355,-84.4526,
1470,5.3,5.3,1355,-85.287,
1470,5.4,5.4,1355,-84.2516,
1470,5.5,5.51,1355,-84.7128,
1470,5.6,5.6,1355,-85.2075,
1470,5.7,5.7,1355,-84.5179,
1470,5.8,5.8,1355,-84.8407,
1470,5.9,5.9,1355,-84.9647,
1470,6,6,1355,-84.6822,
1470,6.1,6.1,1355,-84.6806,
1470,6.2,6.2,1355,-85.0875,
1470,6.3,6.3,1355,-84.563,
1470,6.4,6.4,1355,-84.7496,
1470,6.5,6.5,1355,-84.3814,
1470,6.6,6.6,1355,-84.3719,
1470,6.7,6.7,1355,-84.3611,
1470,6.8,6.8,1355,-84.8589,
1470,6.9,6.9,1355,-84.7055,
1470,7,7,1355,-84.669,
1360,-6.9,-6.88,1360,-84.8394,
1360,-6.8,-6.82,1360,-85.3317,
1360,-6.7,-6.73,1360,-84.4946,
