SWITCH CHANNEL,T100 POWER,T100 WAVELENGTH,BRISTOL WAVELENGTH,POWER METER POWER
2,1.46,1465,0000.0000,-3.53726
2,1.57,1466,0000.0000,-3.61813
2,1.49,1467,0000.0000,-3.4937
2,1.61,1468,0000.0000,-3.62164
2,1.48,1469,0000.0000,-3.56055
2,1.53,1470,0000.0000,-3.55334
2,1.55,1471,0000.0000,-3.63242
2,1.47,1472,0000.0000,-3.51172
2,1.59,1473,0000.0000,-3.5919
2,1.51,1474,0000.0000,-3.56285
2,1.53,1475,0000.0000,-3.48475
2,1.61,1476,0000.0000,-3.596
2,1.5,1477,0000.0000,-3.47182
2,1.62,1478,0000.0000,-3.52684
2,1.57,1479,0000.0000,-3.53476
2,1.56,1480,0000.0000,-3.43357
2,1.66,1481,0000.0000,-3.53112
2,1.56,1482,0000.0000,-3.48638
2,1.6,1483,0000.0000,-3.45199
2,1.63,1484,0000.0000,-3.55829
2,1.52,1485,0000.0000,-3.42107
2,1.66,1486,0000.0000,-3.49189
2,1.58,1487,0000.0000,-3.51305
2,1.56,1488,0000.0000,-3.41603
2,1.66,1489,0000.0000,-3.54866
2,1.52,1490,0000.0000,-3.46187
2,1.61,1491,0000.0000,-3.45141
2,1.62,1492,0000.0000,-3.54874
2,1.52,1493,0000.0000,-3.40455
2,1.67,1494,0000.0000,-3.51306
2,1.56,1495,0000.0000,-3.48496
2,1.59,1496,0000.0000,-3.41984
2,1.65,1497,0000.0000,-3.53616
2,1.53,1498,0000.0000,-3.426
2,1.64,1499,0000.0000,-3.44124
2,1.62,1500,0000.0000,-3.4915
2,1.56,1501,1500.6483,-3.37923
2,1.68,1502,1501.6441,-3.46055
2,1.59,1503,1502.6433,-3.44555
2,1.6,1504,1503.6417,-3.36369
2,1.68,1505,1504.6340,-3.47865
2,1.55,1506,1505.6272,-3.39529
2,1.63,1507,1506.6125,-3.36905
2,1.65,1508,1507.6034,-3.48512
2,1.53,1509,1508.6001,-3.332
2,1.69,1510,1509.5998,-3.43183
2,1.59,1511,1510.5967,-3.46332
2,1.56,1512,1511.5974,-3.38101
2,1.63,1513,1512.6276,-3.4968
2,1.51,1514,1513.6210,-3.45844
2,1.55,1515,1514.6226,-3.41521
2,1.59,1516,1515.6252,-3.5401
2,1.47,1517,1516.6288,-3.45116
2,1.56,1518,1517.6273,-3.47322
2,1.53,1519,1518.6515,-3.5753
2,1.43,1520,1519.6483,-3.45766
2,1.56,1521,1520.6521,-3.5495
2,1.47,1522,1521.6503,-3.56154
2,1.46,1523,1522.6482,-3.46076
2,1.56,1524,1523.6452,-3.58611
2,1.43,1525,1524.6449,-3.52325
2,1.5,1526,1525.6353,-3.47245
2,1.56,1527,1526.6322,-3.56559
2,1.47,1528,1527.6238,-3.46359
2,1.57,1529,1528.6206,-3.44257
2,1.59,1530,1529.6193,-3.54546
2,1.49,1531,1530.6219,-3.42241
2,1.61,1532,1531.6247,-3.4889
2,1.55,1533,1532.6273,-3.54297
2,1.49,1534,1533.6304,-3.42063
2,1.61,1535,1534.6335,-3.53625
2,1.5,1536,1535.6330,-3.52645
2,1.51,1537,1536.6434,-3.44804
2,1.59,1538,1537.6444,-3.54656
2,1.49,1539,1538.6382,-3.49829
2,1.53,1540,1539.6414,-3.44131
2,1.59,1541,1540.6380,-3.57994
2,1.44,1542,1541.6386,-3.46195
2,1.56,1543,1542.6339,-3.46964
2,1.55,1544,1543.6294,-3.55502
2,1.46,1545,1544.6151,-3.43885
2,1.56,1546,1545.6028,-3.43622
2,1.57,1547,1546.5916,-3.51382
2,1.49,1548,1547.5904,-3.37742
2,1.62,1549,1548.5971,-3.4393
2,1.56,1550,1549.6058,-3.48024
2,1.51,1551,1550.6042,-3.35834
2,1.63,1552,1551.6027,-3.47802
2,1.51,1553,1552.5998,-3.47662
2,1.51,1554,1553.5981,-3.38127
2,1.61,1555,1554.5997,-3.46852
2,1.52,1556,1555.6090,-3.45986
2,1.52,1557,1556.6140,-3.36403
2,1.61,1558,1557.6132,-3.52166
2,1.44,1559,1558.6127,-3.45655
2,1.5,1560,1559.6107,-3.40198
2,1.55,1561,1560.6144,-3.50622
2,1.43,1562,1561.6115,-3.41485
2,1.52,1563,1562.6106,-3.36352
2,1.57,1564,1563.5980,-3.46944
2,1.46,1565,1564.5848,-3.38856
2,1.53,1566,1565.5860,-3.35403
2,1.57,1567,1566.5823,-3.47142
2,1.44,1568,1567.5868,-3.34803
2,1.57,1569,1568.5933,-3.34305
2,1.56,1570,1569.6042,-3.42198
2,1.49,1571,1570.6059,-3.33147
2,1.58,1572,1571.6043,-3.37281
2,1.53,1573,1572.6062,-3.48993
2,1.42,1574,1573.6131,-3.4046
2,1.51,1575,1574.6167,-3.45312
