SWITCH CHANNEL,T100 POWER,T100 WAVELENGTH,BRISTOL WAVELENGTH,POWER METER POWER
2,0.55,1465,0000.0000,-3.78829
2,0.66,1466,0000.0000,-3.82075
2,0.63,1467,0000.0000,-3.79469
2,0.66,1468,0000.0000,-3.7271
2,0.73,1469,0000.0000,-3.85256
2,0.6,1470,1571.8846,-3.74957
2,0.71,1471,0000.0000,-3.86765
2,0.6,1472,0000.0000,-3.76546
2,0.71,1473,0000.0000,-3.79419
2,0.69,1474,0000.0000,-3.7666
2,0.71,1475,0000.0000,-3.75295
2,0.73,1476,0000.0000,-3.80574
2,0.67,1477,0000.0000,-3.76404
2,0.71,1478,0000.0000,-3.8321
2,0.64,1479,0000.0000,-3.70747
2,0.77,1480,0000.0000,-3.75597
2,0.71,1481,0000.0000,-3.70922
2,0.76,1482,0000.0000,-3.77679
2,0.69,1483,0000.0000,-3.79389
2,0.66,1484,0000.0000,-3.74915
2,0.7,1485,0000.0000,-3.79497
2,0.64,1486,0000.0000,-3.67864
2,0.76,1487,0000.0000,-3.7832
2,0.64,1488,0000.0000,-3.7157
2,0.71,1489,1579.9109,-3.79214
2,0.63,1490,0000.0000,-3.80114
2,0.62,1491,0000.0000,-3.71298
2,0.7,1492,0000.0000,-3.78585
2,0.62,1493,0000.0000,-3.65948
2,0.74,1494,0000.0000,-3.82145
2,0.58,1495,0000.0000,-3.75306
2,0.64,1496,0000.0000,-3.80813
2,0.59,1497,0000.0000,-3.80618
2,0.59,1498,0000.0000,-3.71046
2,0.68,1499,0000.0000,-3.82734
2,0.56,1500,1500.1254,-3.72931
2,0.66,1501,1501.1196,-3.86961
2,0.52,1502,1502.0970,-3.79899
2,0.59,1503,1503.0904,-3.79912
2,0.59,1504,1504.0961,-3.81352
2,0.58,1505,1505.0834,-3.73153
2,0.66,1506,1506.0901,-3.87774
2,0.51,1507,1507.0814,-3.78634
2,0.59,1508,1508.0822,-3.86688
2,0.51,1509,1509.0884,-3.82544
2,0.55,1510,1510.0900,-3.75587
2,0.62,1511,1511.0988,-3.82294
2,0.55,1512,1512.0978,-3.76375
2,0.6,1513,1513.0921,-3.88519
2,0.48,1514,1514.0994,-3.82464
2,0.53,1515,1515.0930,-3.82803
2,0.53,1516,1516.0970,-3.81991
2,0.55,1517,1517.0883,-3.72205
2,0.64,1518,1518.1226,-3.84733
2,0.52,1519,1519.1203,-3.79409
2,0.58,1520,1520.1043,-3.87998
2,0.49,1521,1521.1006,-3.84015
2,0.53,1522,1522.0945,-3.76202
2,0.62,1523,1523.0931,-3.80596
2,0.58,1524,1524.0893,-3.68215
2,0.7,1525,1525.0785,-3.81098
2,0.58,1526,1526.0814,-3.77032
2,0.62,1527,1527.0824,-3.78279
2,0.6,1528,1528.0788,-3.79377
2,0.59,1529,1529.0784,-3.68416
2,0.7,1530,1530.0799,-3.75651
2,0.63,1531,1531.0801,-3.71634
2,0.67,1532,1532.0819,-3.784
2,0.61,1533,1533.0787,-3.82685
2,0.56,1534,1534.0785,-3.78365
2,0.6,1535,1535.0679,-3.78385
2,0.6,1536,1536.0764,-3.75285
2,0.63,1537,1537.0916,-3.74796
2,0.63,1538,1538.0939,-3.83867
2,0.53,1539,1539.1019,-3.79265
2,0.58,1540,1540.1024,-3.89132
2,0.48,1541,1541.0970,-3.78542
2,0.58,1542,1542.0950,-3.74789
2,0.6,1543,1543.0903,-3.78245
2,0.56,1544,1544.0985,-3.66782
2,0.67,1545,1545.0897,-3.8167
2,0.52,1546,1546.0847,-3.72802
2,0.61,1547,1547.0767,-3.74191
2,0.59,1548,1548.0741,-3.71223
2,0.62,1549,1549.0744,-3.6024
2,0.73,1550,1550.0732,-3.67104
2,0.66,1551,1551.0752,-3.656
2,0.67,1552,1552.0806,-3.72343
2,0.6,1553,1553.0787,-3.77772
2,0.55,1554,1554.0830,-3.70739
2,0.62,1555,1555.0831,-3.75099
2,0.58,1556,1556.0868,-3.70658
2,0.62,1557,1557.0895,-3.72156
2,0.6,1558,1558.0881,-3.82981
2,0.49,1559,1559.0912,-3.78524
2,0.53,1560,1560.0743,-3.87022
2,0.45,1561,1561.0734,-3.81101
2,0.51,1562,1562.0666,-3.72724
2,0.59,1563,1563.0668,-3.80943
2,0.51,1564,1564.0596,-3.71159
2,0.6,1565,1565.0475,-3.82266
2,0.49,1566,1566.0481,-3.80733
2,0.51,1567,1567.0411,-3.76753
2,0.55,1568,1568.0419,-3.76772
2,0.55,1569,1569.0420,-3.68684
2,0.63,1570,1570.0425,-3.66321
2,0.66,1571,1571.0444,-3.76046
2,0.56,1572,1572.0481,-3.71552
2,0.6,1573,1573.0424,-3.84117
2,0.48,1574,1574.0474,-3.78375
2,0.53,1575,1575.0389,-3.75607
