SWITCH CHANNEL,T100 POWER,T100 WAVELENGTH,BRISTOL WAVELENGTH,POWER METER POWER
1,1.5,1465,0000.0000,-3.56431
1,1.57,1466,0000.0000,-3.64536
1,1.49,1467,0000.0000,-3.53178
1,1.6,1468,0000.0000,-3.63761
1,1.49,1469,0000.0000,-3.60081
1,1.52,1470,0000.0000,-3.57051
1,1.56,1471,0000.0000,-3.66134
1,1.47,1472,0000.0000,-3.52995
1,1.6,1473,0000.0000,-3.61008
1,1.52,1474,0000.0000,-3.59381
1,1.53,1475,0000.0000,-3.51616
1,1.61,1476,0000.0000,-3.6166
1,1.51,1477,0000.0000,-3.50416
1,1.62,1478,0000.0000,-3.53843
1,1.59,1479,0000.0000,-3.56088
1,1.57,1480,0000.0000,-3.44994
1,1.68,1481,0000.0000,-3.54886
1,1.58,1482,0000.0000,-3.50598
1,1.62,1483,0000.0000,-3.46336
1,1.67,1484,0000.0000,-3.57088
1,1.56,1485,0000.0000,-3.44759
1,1.68,1486,0000.0000,-3.51003
1,1.61,1487,0000.0000,-3.53288
1,1.59,1488,0000.0000,-3.42747
1,1.7,1489,0000.0000,-3.55024
1,1.58,1490,0000.0000,-3.46595
1,1.66,1491,0000.0000,-3.45688
1,1.68,1492,0000.0000,-3.55397
1,1.58,1493,0000.0000,-3.41357
1,1.72,1494,0000.0000,-3.51095
1,1.63,1495,0000.0000,-3.49529
1,1.64,1496,0000.0000,-3.4309
1,1.71,1497,0000.0000,-3.53583
1,1.6,1498,0000.0000,-3.43865
1,1.7,1499,0000.0000,-3.43281
1,1.7,1500,0000.0000,-3.50279
1,1.62,1501,1500.6416,-3.37102
1,1.75,1502,1501.6373,-3.46211
1,1.66,1503,1502.6384,-3.45768
1,1.66,1504,1503.6363,-3.36563
1,1.74,1505,1504.6269,-3.47741
1,1.62,1506,1505.6190,-3.39431
1,1.7,1507,1506.6063,-3.36726
1,1.72,1508,1507.5987,-3.48116
1,1.6,1509,1508.5955,-3.35015
1,1.73,1510,1509.5960,-3.43697
1,1.64,1511,1510.5911,-3.46651
1,1.61,1512,1511.6257,-3.38284
1,1.69,1513,1512.6202,-3.49605
1,1.57,1514,1513.6138,-3.46711
1,1.59,1515,1514.6164,-3.4119
1,1.64,1516,1515.6187,-3.54468
1,1.51,1517,1516.6212,-3.45488
1,1.6,1518,1517.6191,-3.47496
1,1.58,1519,1518.6435,-3.57602
1,1.48,1520,1519.6448,-3.45647
1,1.6,1521,1520.6482,-3.54656
1,1.51,1522,1521.6455,-3.55761
1,1.5,1523,1522.6457,-3.45643
1,1.6,1524,1523.6374,-3.58143
1,1.48,1525,1524.6382,-3.51688
1,1.55,1526,1525.6281,-3.46654
1,1.6,1527,1526.6293,-3.55888
1,1.51,1528,1527.6208,-3.45817
1,1.61,1529,1528.6170,-3.44892
1,1.62,1530,1529.6146,-3.54014
1,1.53,1531,1530.6187,-3.43087
1,1.64,1532,1531.6211,-3.48729
1,1.59,1533,1532.6207,-3.55388
1,1.52,1534,1533.6245,-3.42297
1,1.66,1535,1534.6263,-3.53827
1,1.54,1536,1535.6277,-3.53079
1,1.55,1537,1536.6365,-3.44466
1,1.64,1538,1537.6373,-3.54375
1,1.55,1539,1538.6355,-3.49886
1,1.59,1540,1539.6372,-3.44436
1,1.64,1541,1540.6336,-3.5722
1,1.51,1542,1541.6321,-3.46811
1,1.61,1543,1542.6294,-3.46684
1,1.61,1544,1543.6267,-3.56364
1,1.51,1545,1544.6092,-3.43995
1,1.63,1546,1545.5993,-3.43919
1,1.63,1547,1546.5858,-3.517
1,1.56,1548,1547.5832,-3.38357
1,1.69,1549,1548.5900,-3.43483
1,1.63,1550,1549.5966,-3.49784
1,1.57,1551,1550.5967,-3.36769
1,1.7,1552,1551.5961,-3.4862
1,1.58,1553,1552.5941,-3.48525
1,1.58,1554,1553.5926,-3.39187
1,1.68,1555,1554.5979,-3.46633
1,1.6,1556,1555.6039,-3.46882
1,1.59,1557,1556.6112,-3.37416
1,1.68,1558,1557.6097,-3.51919
1,1.52,1559,1558.6079,-3.46512
1,1.57,1560,1559.6051,-3.39906
1,1.62,1561,1560.6079,-3.50141
1,1.51,1562,1561.6065,-3.42041
1,1.59,1563,1562.6048,-3.36886
1,1.63,1564,1563.5970,-3.47258
1,1.52,1565,1564.5779,-3.3912
1,1.6,1566,1565.5807,-3.35525
1,1.63,1567,1566.5768,-3.4706
1,1.51,1568,1567.5827,-3.35704
1,1.62,1569,1568.5915,-3.33971
1,1.63,1570,1569.6013,-3.42692
1,1.55,1571,1570.6042,-3.33613
1,1.63,1572,1571.6055,-3.3745
1,1.59,1573,1572.6054,-3.50017
1,1.47,1574,1573.6114,-3.40341
1,1.57,1575,1574.6128,-3.45003
