Desired T100 Wavelength,Actual T100 Wavelength,Desired T100 Output Power,Actual T100 Output Power,Power Meter Wavelength Setting,Power Meter Reading
1455,1564,0,0.01,1455,0.157063,
1455,1564,2,2.01,1455,2.21207,
1455,1564,4,4.01,1455,4.21671,
1455,1564,6,6,1455,6.22328,
1455,1564,8,8,1455,8.23606,
1456,1564,0,0.02,1456,0.207548,
1456,1564,2,2.01,1456,2.21223,
1456,1564,4,4.01,1456,4.21533,
1456,1564,6,6,1456,6.22159,
1456,1564,8,8,1456,8.23437,
1457,1564,0,0.01,1457,0.206024,
1457,1564,2,2.01,1457,2.21382,
1457,1564,4,4.01,1457,4.21691,
1457,1564,6,6,1457,6.22305,
1457,1564,8,8,1457,8.23574,
1458,1564,0,0.02,1458,0.207556,
1458,1564,2,2.01,1458,2.21513,
1458,1564,4,4.01,1458,4.21822,
1458,1564,6,6,1458,6.22437,
1458,1564,8,8,1458,8.23702,
1459,1564,0,0.02,1459,0.208835,
1459,1564,2,2.01,1459,2.21133,
1459,1564,4,4,1459,4.21429,
1459,1564,6,6,1459,6.22042,
1459,1564,8,8,1459,8.23307,
1460,1564,0,0.02,1460,0.205022,
1460,1564,2,2.01,1460,2.20751,
1460,1564,4,4.01,1460,4.21041,
1460,1564,6,6,1460,6.21665,
1460,1564,8,8,1460,8.22923,
1461,1564,0,0.02,1461,0.201192,
1461,1564,2,2.01,1461,2.20707,
1461,1564,4,4.01,1461,4.20986,
1461,1564,6,6,1461,6.21603,
1461,1564,8,8,1461,8.22867,
1462,1564,0,0.02,1462,0.200649,
1462,1564,2,2.01,1462,2.20645,
1462,1564,4,4.01,1462,4.20927,
1462,1564,6,6,1462,6.21543,
1462,1564,8,8,1462,8.22809,
1463,1564,0,0.02,1463,0.200135,
1463,1564,2,2.01,1463,2.20831,
1463,1564,4,4.01,1463,4.21121,
1463,1564,6,6,1463,6.21733,
1463,1564,8,8,1463,8.22985,
1464,1564,0,0.02,1464,0.201967,
1464,1564,2,2.01,1464,2.21014,
1464,1564,4,4,1464,4.213,
1464,1564,6,6,1464,6.21906,
1464,1564,8,8,1464,8.2317,
1465,1465,0,0.02,1465,0.0625077,
1465,1465,2,2.01,1465,2.06173,
1465,1465,4,4.01,1465,4.0642,
1465,1465,6,6,1465,6.06959,
1465,1465,8,8,1465,8.08055,
1466,1466,0,0.02,1466,0.0523587,
1466,1466,2,2.01,1466,2.05288,
1466,1466,4,4.01,1466,4.05544,
1466,1466,6,6,1466,6.06114,
1466,1466,8,8,1466,8.07253,
1467,1467,0,0.02,1467,0.0486626,
1467,1467,2,2.01,1467,2.05464,
1467,1467,4,4.01,1467,4.0572,
1467,1467,6,6,1467,6.06251,
1467,1467,8,8,1467,8.07362,
1468,1468,0,0.02,1468,0.045389,
1468,1468,2,2.01,1468,2.05194,
1468,1468,4,4.01,1468,4.05444,
1468,1468,6,6,1468,6.06002,
1468,1468,8,8,1468,8.07132,
1469,1469,0,0.02,1469,0.0508008,
1469,1469,2,2.01,1469,2.05574,
1469,1469,4,4.01,1469,4.05818,
1469,1469,6,6,1469,6.06355,
1469,1469,8,8,1469,8.07478,
1470,1470,0,0.01,1470,0.0530023,
1470,1470,2,2.01,1470,2.05803,
1470,1470,4,4.01,1470,4.06061,
1470,1470,6,6,1470,6.06618,
1470,1470,8,8,1470,8.07755,
1471,1471,0,0.02,1471,0.056566,
1471,1471,2,2.01,1471,2.05718,
1471,1471,4,4.01,1471,4.05987,
1471,1471,6,6,1471,6.06564,
1471,1471,8,8,1471,8.07716,
1472,1472,0,0.02,1472,0.0573119,
1472,1472,2,2.01,1472,2.05797,
1472,1472,4,4.01,1472,4.0606,
1472,1472,6,6,1472,6.06631,
1472,1472,8,8,1472,8.0778,
1473,1473,0,0.02,1473,0.0517236,
1473,1473,2,2.01,1473,2.05821,
1473,1473,4,4.01,1473,4.06139,
1473,1473,6,6,1473,6.06722,
1473,1473,8,8,1473,8.0788,
1474,1474,0,0.02,1474,0.0587389,
1474,1474,2,2.01,1474,2.06425,
1474,1474,4,4.01,1474,4.06653,
1474,1474,6,6,1474,6.07196,
1474,1474,8,8,1474,8.08324,
1475,1475,0,0.02,1475,0.0538302,
1475,1475,2,2.01,1475,2.05804,
1475,1475,4,4.01,1475,4.06094,
1475,1475,6,6,1475,6.06662,
1475,1475,8,8,1475,8.078,
1476,1476,0,0.02,1476,0.0502943,
1476,1476,2,2.01,1476,2.0549,
1476,1476,4,4.01,1476,4.05799,
1476,1476,6,6,1476,6.06365,
1476,1476,8,8,1476,8.07523,
1477,1477,0,0.02,1477,0.0522814,
1477,1477,2,2.01,1477,2.05425,
1477,1477,4,4.01,1477,4.0572,
1477,1477,6,6,1477,6.06304,
1477,1477,8,8,1477,8.07459,
1478,1478,0,0.02,1478,0.0454105,
1478,1478,2,2.01,1478,2.04749,
1478,1478,4,4.01,1478,4.05064,
1478,1478,6,6,1478,6.05666,
1478,1478,8,8,1478,8.06839,
1479,1479,0,0.02,1479,0.0456726,
1479,1479,2,2.01,1479,2.05136,
1479,1479,4,4.01,1479,4.05447,
1479,1479,6,6,1479,6.06019,
1479,1479,8,8,1479,8.07198,
1480,1480,0,0.02,1480,0.0495129,
1480,1480,2,2.01,1480,2.05526,
1480,1480,4,4.01,1480,4.05842,
1480,1480,6,6,1480,6.06437,
1480,1480,8,8,1480,8.07604,
1481,1481,0,0.02,1481,0.0536286,
1481,1481,2,2.01,1481,2.05766,
1481,1481,4,4.01,1481,4.06058,
1481,1481,6,6,1481,6.06639,
1481,1481,8,8,1481,8.07805,
1482,1482,0,0.02,1482,0.0575733,
1482,1482,2,2.01,1482,2.06193,
1482,1482,4,4.01,1482,4.06496,
1482,1482,6,6,1482,6.07091,
1482,1482,8,8,1482,8.08253,
1483,1483,0,0.02,1483,0.0582161,
1483,1483,2,2.01,1483,2.06147,
1483,1483,4,4.01,1483,4.06431,
1483,1483,6,6,1483,6.07011,
1483,1483,8,8,1483,8.08158,
1484,1484,0,0.02,1484,0.0584218,
1484,1484,2,2.01,1484,2.06179,
1484,1484,4,4.01,1484,4.06448,
1484,1484,6,6,1484,6.07041,
1484,1484,8,8,1484,8.08202,
1485,1485,0,0.02,1485,0.0520969,
1485,1485,2,2.01,1485,2.06023,
1485,1485,4,4.01,1485,4.06308,
1485,1485,6,6,1485,6.06885,
1485,1485,8,8,1485,8.08039,
1486,1486,0,0.02,1486,0.0503673,
1486,1486,2,2.01,1486,2.05834,
1486,1486,4,4.01,1486,4.06096,
1486,1486,6,6,1486,6.06663,
1486,1486,8,8,1486,8.07821,
1487,1487,0,0.02,1487,0.0530194,
1487,1487,2,2.01,1487,2.05672,
1487,1487,4,4.01,1487,4.06001,
1487,1487,6,6,1487,6.06596,
1487,1487,8,8,1487,8.0779,
1488,1488,0,0.02,1488,0.0478466,
1488,1488,2,2.01,1488,2.05121,
1488,1488,4,4.01,1488,4.05424,
1488,1488,6,6,1488,6.06012,
1488,1488,8,8,1488,8.07186,
1489,1489,0,0.02,1489,0.04688,
1489,1489,2,2.01,1489,2.04985,
1489,1489,4,4.01,1489,4.05276,
1489,1489,6,6,1489,6.05883,
1489,1489,8,8,1489,8.07063,
1490,1490,0,0.02,1490,0.0476061,
1490,1490,2,2.01,1490,2.05105,
1490,1490,4,4.01,1490,4.05438,
1490,1490,6,6,1490,6.06048,
1490,1490,8,8,1490,8.07237,
1491,1491,0,0.02,1491,0.0494828,
1491,1491,2,2.01,1491,2.05543,
1491,1491,4,4.01,1491,4.05828,
1491,1491,6,6,1491,6.06403,
1491,1491,8,8,1491,8.07572,
1492,1492,0,0.02,1492,0.0565574,
1492,1492,2,2.01,1492,2.06235,
1492,1492,4,4.01,1492,4.06525,
1492,1492,6,6,1492,6.07094,
1492,1492,8,8,1492,8.0828,
1493,1493,0,0.02,1493,0.0591844,
1493,1493,2,2.01,1493,2.06502,
1493,1493,4,4.01,1493,4.06812,
1493,1493,6,6,1493,6.07399,
1493,1493,8,8,1493,8.0859,
1494,1494,0,0.02,1494,0.0627131,
1494,1494,2,2.01,1494,2.06805,
1494,1494,4,4.01,1494,4.07072,
1494,1494,6,6,1494,6.07641,
1494,1494,8,8,1494,8.08811,
1495,1495,0,0.02,1495,0.0598998,
1495,1495,2,2.01,1495,2.06073,
1495,1495,4,4.01,1495,4.06379,
1495,1495,6,6,1495,6.06968,
1495,1495,8,8,1495,8.08162,
1496,1496,0,0.02,1496,0.0498821,
1496,1496,2,2.01,1496,2.05026,
1496,1496,4,4.01,1496,4.05302,
1496,1496,6,6,1496,6.0589,
1496,1496,8,8,1496,8.07072,
1497,1497,0,0.02,1497,0.0412654,
1497,1497,2,2.01,1497,2.046,
1497,1497,4,4.01,1497,4.04882,
1497,1497,6,6,1497,6.0548,
1497,1497,8,8,1497,8.0667,
1498,1498,0,0.02,1498,0.0383435,
1498,1498,2,2.01,1498,2.0433,
1498,1498,4,4.01,1498,4.04622,
1498,1498,6,6,1498,6.05221,
1498,1498,8,8,1498,8.06398,
1499,1499,0,0.02,1499,0.0334893,
1499,1499,2,2.01,1499,2.04054,
1499,1499,4,4.01,1499,4.04343,
1499,1499,6,6,1499,6.04936,
1499,1499,8,8,1499,8.06129,
1500,1500,0,0.02,1500,0.0377494,
1500,1500,2,2.01,1500,2.04513,
1500,1500,4,4.01,1500,4.04812,
1500,1500,6,6,1500,6.05408,
1500,1500,8,8,1500,8.06609,
1501,1501,0,0.02,1501,0.0414289,
1501,1501,2,2.01,1501,2.04524,
1501,1501,4,4.01,1501,4.04848,
1501,1501,6,6,1501,6.05475,
1501,1501,8,8,1501,8.06681,
1502,1502,0,0.02,1502,0.0449119,
1502,1502,2,2.01,1502,2.04729,
1502,1502,4,4.01,1502,4.04979,
1502,1502,6,6,1502,6.05529,
1502,1502,8,8,1502,8.06704,
1503,1503,0,0.02,1503,0.0457586,
1503,1503,2,2.01,1503,2.05006,
1503,1503,4,4.01,1503,4.05312,
1503,1503,6,6,1503,6.05899,
1503,1503,8,8,1503,8.07094,
1504,1504,0,0.02,1504,0.0441854,
1504,1504,2,2.01,1504,2.04767,
1504,1504,4,4.01,1504,4.05027,
1504,1504,6,6,1504,6.05578,
1504,1504,8,8,1504,8.0676,
1505,1505,0,0.02,1505,0.0424483,
1505,1505,2,2.01,1505,2.04804,
1505,1505,4,4.01,1505,4.05121,
1505,1505,6,6,1505,6.05708,
1505,1505,8,8,1505,8.06925,
1506,1506,0,0.02,1506,0.0369097,
1506,1506,2,2.01,1506,2.04207,
1506,1506,4,4.01,1506,4.04497,
1506,1506,6,6,1506,6.0508,
1506,1506,8,8,1506,8.06263,
1507,1507,0,0.02,1507,0.0299454,
