Desired T100 Wavelength,Actual T100 Wavelength,Desired T100 Output Power,Actual T100 Output Power,Power Meter Wavelength Setting,Power Meter Reading
1455,1575,-7,8,1455,8.126,
1455,1575,-6,-5.9,1455,-5.88421,
1455,1575,-5,-4.96,1455,-4.92754,
1455,1575,-4,-3.95,1455,-3.89659,
1455,1575,-3,-2.96,1455,-2.90177,
1455,1575,-2,-1.98,1455,-1.91327,
1455,1575,-1,-0.98,1455,-0.901688,
1455,1575,0,0.01,1455,0.0961532,
1455,1575,1,1.02,1455,1.10221,
1455,1575,2,2.01,1455,2.10377,
1455,1575,3,3.01,1455,3.10518,
1455,1575,4,4.01,1455,4.10784,
1455,1575,5,5,1455,5.10826,
1455,1575,6,6,1455,6.11402,
1460,1575,-7,6,1460,6.11416,
1460,1575,-6,-5.9,1460,-5.88648,
1460,1575,-5,-4.97,1460,-4.93165,
1460,1575,-4,-3.94,1460,-3.90169,
1460,1575,-3,-2.96,1460,-2.90766,
1460,1575,-2,-1.98,1460,-1.91952,
1460,1575,-1,-0.97,1460,-0.908186,
1460,1575,0,0.01,1460,0.0893981,
1460,1575,1,1.02,1460,1.09524,
1460,1575,2,2.01,1460,2.09672,
1460,1575,3,3.01,1460,3.0979,
1460,1575,4,4,1460,4.10049,
1460,1575,5,5,1460,5.10099,
1460,1575,6,6,1460,6.10666,
1465,1465,-7,6,1465,5.97186,
1465,1465,-6,-5.88,1465,-6.01789,
1465,1465,-5,-4.96,1465,-5.06444,
1465,1465,-4,-3.95,1465,-4.03525,
1465,1465,-3,-2.96,1465,-3.04166,
1465,1465,-2,-1.98,1465,-2.05384,
1465,1465,-1,-0.98,1465,-1.04265,
1465,1465,0,0.01,1465,-0.0451389,
1465,1465,1,1.02,1465,0.960642,
1465,1465,2,2.01,1465,1.96175,
1465,1465,3,3.01,1465,2.96238,
1465,1465,4,4.01,1465,3.96503,
1465,1465,5,5,1465,4.96497,
1465,1465,6,6,1465,5.97024,
1470,1470,-7,6,1470,5.97737,
1470,1470,-6,-5.88,1470,-6.02458,
1470,1470,-5,-4.96,1470,-5.06949,
1470,1470,-4,-3.94,1470,-4.03919,
1470,1470,-3,-2.96,1470,-3.04465,
1470,1470,-2,-1.98,1470,-2.05626,
