Desired T100 Wavelength,Actual T100 Wavelength,Desired T100 Output Power,Actual T100 Output Power,Power Meter Wavelength Setting,Power Meter Reading
1350,1470,0,-0.01,1350,-84.843,
1350,1470,2,2,1350,-85.6947,
1350,1470,4,4,1350,-85.0375,
1350,1470,6,6,1350,-85.1779,
1350,1470,8,8,1350,-84.9045,
1351,1470,0,0,1351,-85.1517,
1351,1470,2,2,1351,-85.774,
1351,1470,4,4,1351,-85.3979,
1351,1470,6,6,1351,-85.0789,
1351,1470,8,8,1351,-85.137,
1352,1470,0,0,1352,-85.0822,
1352,1470,2,2,1352,-85.158,
1352,1470,4,4,1352,-84.9202,
1352,1470,6,6,1352,-85.5768,
1352,1470,8,8,1352,-85.1078,
1353,1470,0,0,1353,-85.2519,
1353,1470,2,2,1353,-85.2733,
1353,1470,4,4,1353,-85.3559,
1353,1470,6,6,1353,-85.1189,
1353,1470,8,8,1353,-85.1578,
1354,1470,0,0,1354,-85.2384,
1354,1470,2,2.01,1354,-85.3675,
1354,1470,4,4.01,1354,-85.0327,
1354,1470,6,6,1354,-85.0154,
1354,1470,8,8,1354,-84.7115,
1355,1470,0,0,1355,-85.1544,
1355,1470,2,2,1355,-85.1342,
1355,1470,4,4,1355,-85.3732,
1355,1470,6,6,1355,-84.4927,
1355,1470,8,8,1355,-84.9663,
1356,1470,0,0,1356,-85.6405,
1356,1470,2,2,1356,-84.2797,
1356,1470,4,4.01,1356,-85.1706,
1356,1470,6,6,1356,-84.7464,
1356,1470,8,8,1356,-84.8766,
1357,1470,0,0,1357,-85.0456,
1357,1470,2,2,1357,-84.5423,
1357,1470,4,4,1357,-84.4559,
1357,1470,6,6,1357,-84.9503,
1357,1470,8,8,1357,-85.143,
1358,1470,0,0,1358,-85.2048,
1358,1470,2,2,1358,-85.3682,
1358,1470,4,4,1358,-84.8786,
1358,1470,6,6,1358,-85.1966,
1358,1470,8,8,1358,-84.8937,
1359,1470,0,0,1359,-84.9428,
1359,1470,2,2.01,1359,-84.6138,
1359,1470,4,4,1359,-85.0739,
1359,1470,6,6,1359,-85.5426,
1359,1470,8,8,1359,-84.7945,
1360,1360,0,0.01,1360,-84.5154,
1360,1360,2,2.01,1360,-85.2009,
1360,1360,4,4.01,1360,-84.6658,
1360,1360,6,6,1360,-84.5772,
1360,1360,8,6.24,1360,-84.1494,
1361,1361,0,0.01,1361,-85.12,
1361,1361,2,2.01,1361,-84.9225,
1361,1361,4,4,1361,-85.3226,
1361,1361,6,5.99,1361,-85.045,
1361,1361,8,5.77,1361,-84.7899,
1362,1362,0,0.01,1362,-85.6587,
1362,1362,2,2.01,1362,-84.7293,
1362,1362,4,4.01,1362,-84.9236,
1362,1362,6,5.58,1362,-84.6872,
1362,1362,8,5.18,1362,-85.1671,
1363,1363,0,0.01,1363,-85.095,
1363,1363,2,2.01,1363,-85.7726,
1363,1363,4,4.01,1363,-84.3954,
1363,1363,6,6,1363,-84.6688,
1363,1363,8,7.59,1363,-84.7458,
1364,1364,0,0.01,1364,-84.7223,
1364,1364,2,2.01,1364,-85.2076,
1364,1364,4,4,1364,-85.0951,
1364,1364,6,6,1364,-84.8423,
1364,1364,8,8,1364,-85.1623,
1365,1365,0,0.01,1365,-84.7023,
1365,1365,2,2,1365,-84.7212,
1365,1365,4,4,1365,-84.4959,
1365,1365,6,6,1365,-84.9651,
1365,1365,8,8,1365,-84.7549,
1366,1366,0,0.01,1366,-84.8228,
1366,1366,2,2.01,1366,-84.4237,
1366,1366,4,4,1366,-84.5798,
1366,1366,6,6,1366,-85.2987,
1366,1366,8,7.89,1366,-85.264,
1367,1367,0,0.01,1367,-84.5812,
1367,1367,2,2.01,1367,-85.053,
1367,1367,4,4,1367,-85.1194,
1367,1367,6,6,1367,-84.9584,
1367,1367,8,8,1367,-85.0939,
1368,1368,0,0.01,1368,-85.0233,
1368,1368,2,2,1368,-85.5377,
1368,1368,4,4,1368,-85.3375,
1368,1368,6,6,1368,-85.4837,
1368,1368,8,8,1368,-85.1863,
1369,1369,0,0.01,1369,-84.8417,
1369,1369,2,2.01,1369,-84.4829,
1369,1369,4,4.01,1369,-85.6924,
1369,1369,6,6,1369,-84.9591,
1369,1369,8,7.8,1369,-85.0786,
1370,1370,0,0.01,1370,-85.0597,
1370,1370,2,2.01,1370,-84.3446,
1370,1370,4,4,1370,-85.3581,
1370,1370,6,6,1370,-84.8739,
1370,1370,8,7.99,1370,-85.2983,
1371,1371,0,0.01,1371,-85.3231,
1371,1371,2,2,1371,-85.0893,
1371,1371,4,4,1371,-85.453,
1371,1371,6,6,1371,-85.0926,
1371,1371,8,8,1371,-84.8479,
1372,1372,0,0.01,1372,-85.3335,
1372,1372,2,2.01,1372,-84.9754,
1372,1372,4,4,1372,-85.276,
1372,1372,6,6,1372,-85.1755,
1372,1372,8,8,1372,-85.0431,
1373,1373,0,0.01,1373,-85.5517,
1373,1373,2,2.01,1373,-85.4365,
1373,1373,4,4,1373,-85.311,
1373,1373,6,6,1373,-84.863,
1373,1373,8,8,1373,-85.0765,
1374,1374,0,0.01,1374,-85.2454,
1374,1374,2,2.01,1374,-85.3295,
1374,1374,4,4,1374,-85.2507,
1374,1374,6,6,1374,-85.3163,
1374,1374,8,8,1374,-85.4913,
1375,1375,0,0,1375,-85.1195,
1375,1375,2,2.01,1375,-85.2691,
1375,1375,4,4,1375,-84.8513,
1375,1375,6,6,1375,-84.558,
1375,1375,8,8,1375,-85.6594,
1376,1376,0,0,1376,-85.4642,
1376,1376,2,2.01,1376,-84.9798,
1376,1376,4,4,1376,-84.7964,
1376,1376,6,6,1376,-84.3977,
1376,1376,8,8,1376,-85.4101,
1377,1377,0,0.01,1377,-84.7687,
1377,1377,2,2.01,1377,-84.8295,
1377,1377,4,4,1377,-85.2407,
1377,1377,6,6,1377,-85.2992,
1377,1377,8,8,1377,-85.2311,
1378,1378,0,0,1378,-84.8516,
1378,1378,2,2.01,1378,-84.9358,
1378,1378,4,4,1378,-84.6366,
