SWITCH CHANNEL,T100 POWER,T100 WAVELENGTH,BRISTOL WAVELENGTH,POWER METER POWER
4,-1.27,1465,0000.0000,-5.80873
4,-1.26,1466,0000.0000,-5.78718
4,-1.25,1467,0000.0000,-5.71547
4,-1.18,1468,0000.0000,-5.77545
4,-1.25,1469,0000.0000,-5.76913
4,-1.24,1470,0000.0000,-5.79097
4,-1.26,1471,0000.0000,-5.77836
4,-1.24,1472,0000.0000,-5.70008
4,-1.16,1473,0000.0000,-5.71856
4,-1.18,1474,0000.0000,-5.76002
4,-1.22,1475,0000.0000,-5.77604
4,-1.24,1476,0000.0000,-5.74819
4,-1.22,1477,0000.0000,-5.71973
4,-1.2,1478,0000.0000,-5.7176
4,-1.2,1479,0000.0000,-5.79382
4,-1.29,1480,0000.0000,-5.74953
4,-1.25,1481,0000.0000,-5.70331
4,-1.2,1482,0000.0000,-5.76039
4,-1.26,1483,0000.0000,-5.71582
4,-1.22,1484,0000.0000,-5.79504
4,-1.3,1485,0000.0000,-5.72961
4,-1.25,1486,0000.0000,-5.65787
4,-1.18,1487,0000.0000,-5.75894
4,-1.29,1488,0000.0000,-5.73582
4,-1.27,1489,0000.0000,-5.73474
4,-1.27,1490,0000.0000,-5.68936
4,-1.22,1491,0000.0000,-5.64019
4,-1.18,1492,0000.0000,-5.74015
4,-1.28,1493,0000.0000,-5.75914
4,-1.3,1494,0000.0000,-5.71518
4,-1.27,1495,0000.0000,-5.69518
4,-1.25,1496,0000.0000,-5.71339
4,-1.27,1497,0000.0000,-5.74699
4,-1.3,1498,0000.0000,-5.77845
4,-1.35,1499,0000.0000,-5.68177
4,-1.27,1500,1500.6884,-5.69409
4,-1.29,1501,1501.6736,-5.77411
4,-1.37,1502,1502.6677,-5.72953
4,-1.33,1503,1503.6664,-5.7518
4,-1.35,1504,1504.6608,-5.70996
4,-1.3,1505,1505.6539,-5.64634
4,-1.24,1506,1506.6502,-5.69338
4,-1.28,1507,1507.6562,-5.6772
4,-1.27,1508,1508.6542,-5.69466
4,-1.28,1509,1509.6546,-5.6565
4,-1.25,1510,1510.6531,-5.65682
4,-1.24,1511,1511.6561,-5.6333
4,-1.22,1512,1512.6676,-5.73737
4,-1.33,1513,1513.6700,-5.67643
4,-1.27,1514,1514.6735,-5.63778
4,-1.22,1515,1515.6410,-5.75083
4,-1.33,1516,1516.6479,-5.71294
4,-1.29,1517,1517.6388,-5.73062
4,-1.31,1518,1518.6317,-5.68425
4,-1.27,1519,1519.6243,-5.63887
4,-1.22,1520,1520.6318,-5.70408
4,-1.28,1521,1521.6357,-5.74978
4,-1.33,1522,1522.6414,-5.73737
4,-1.3,1523,1523.6324,-5.68559
4,-1.24,1524,1524.5866,-5.72933
4,-1.29,1525,1525.5747,-5.69718
4,-1.25,1526,1526.5781,-5.80387
4,-1.35,1527,1527.5789,-5.73877
4,-1.28,1528,1528.5849,-5.66911
4,-1.22,1529,1529.5934,-5.72899
4,-1.28,1530,1530.5872,-5.75084
4,-1.31,1531,1531.5867,-5.76573
4,-1.33,1532,1532.5942,-5.74319
4,-1.3,1533,1533.5635,-5.73592
4,-1.3,1534,1534.5646,-5.66922
4,-1.24,1535,1535.5662,-5.79544
4,-1.37,1536,1536.5655,-5.73365
4,-1.3,1537,1537.5661,-5.71174
4,-1.29,1538,1538.5622,-5.68607
4,-1.27,1539,1539.5672,-5.66353
4,-1.25,1540,1540.5645,-5.72467
4,-1.31,1541,1541.5608,-5.76111
4,-1.35,1542,1542.5473,-5.71649
4,-1.31,1543,1543.5357,-5.65587
4,-1.25,1544,1544.4922,-5.76041
4,-1.35,1545,1545.4887,-5.73798
4,-1.33,1546,1546.4946,-5.77735
4,-1.37,1547,1547.4928,-5.75119
4,-1.35,1548,1548.4921,-5.70455
4,-1.31,1549,1549.4970,-5.69911
4,-1.3,1550,1550.4924,-5.80579
4,-1.42,1551,1551.4870,-5.75909
4,-1.37,1552,1552.4943,-5.73471
4,-1.35,1553,1553.4574,-5.73668
4,-1.35,1554,1554.4623,-5.69499
4,-1.3,1555,1555.4630,-5.73973
4,-1.35,1556,1556.4737,-5.76119
4,-1.37,1557,1557.4807,-5.72094
4,-1.33,1558,1558.4918,-5.65816
4,-1.26,1559,1559.4929,-5.74109
4,-1.35,1560,1560.4923,-5.67632
4,-1.28,1561,1561.4519,-5.73591
4,-1.35,1562,1562.4501,-5.71244
4,-1.33,1563,1563.4489,-5.66539
4,-1.28,1564,1564.4539,-5.66394
4,-1.28,1565,1565.4553,-5.77038
4,-1.39,1566,1566.4508,-5.70896
4,-1.33,1567,1567.4551,-5.69228
4,-1.3,1568,1568.4625,-5.69411
4,-1.3,1569,1569.4605,-5.65355
4,-1.26,1570,1570.4189,-5.72135
4,-1.33,1571,1571.4195,-5.76501
4,-1.37,1572,1572.4150,-5.71932
4,-1.33,1573,1573.4222,-5.63864
4,-1.24,1574,1574.4244,-5.70779
4,-1.31,1575,1575.4273,-5.69125
