Desired T100 Wavelength,Actual T100 Wavelength,Desired T100 Output Power,Actual T100 Output Power,Power Meter Wavelength Setting,Power Meter Reading
1550,1660,-7,-3.99,1550,-4.41052,
1550,1660,-6,-5.99,1550,-6.40908,
1550,1660,-5,-5.02,1550,-5.4461,
1550,1660,-4,-3.99,1550,-4.41069,
1550,1660,-3,-3,1550,-3.41478,
1550,1660,-2,-2.01,1550,-2.42302,
1550,1660,-1,-1,1550,-1.41171,
1550,1660,0,0,1550,-0.413395,
1550,1660,1,1,1550,0.591695,
1550,1660,2,2,1550,1.59249,
1550,1660,3,3,1550,2.56033,
1550,1660,4,4,1550,3.56664,
1550,1660,5,5,1550,4.57021,
1550,1660,6,6,1550,5.58075,
1555,1660,-7,6,1555,5.5819,
1555,1660,-6,-5.97,1555,-6.40669,
1555,1660,-5,-5.02,1555,-5.44525,
1555,1660,-4,-4,1555,-4.41089,
1555,1660,-3,-3,1555,-3.41553,
1555,1660,-2,-2.01,1555,-2.42408,
1555,1660,-1,-1,1555,-1.41287,
1555,1660,0,0,1555,-0.414782,
1555,1660,1,1,1555,0.590379,
1555,1660,2,2,1555,1.59094,
1555,1660,3,3,1555,2.55911,
1555,1660,4,4,1555,3.56521,
1555,1660,5,5,1555,4.5689,
1555,1660,6,6,1555,5.57952,
1560,1560,-7,6,1560,5.91968,
1560,1560,-6,-5.97,1560,-6.07503,
1560,1560,-5,-5.03,1560,-5.11512,
1560,1560,-4,-3.99,1560,-4.08137,
1560,1560,-3,-3,1560,-3.08665,
1560,1560,-2,-2.01,1560,-2.09575,
1560,1560,-1,-1,1560,-1.08495,
1560,1560,0,0,1560,-0.0871632,
1560,1560,1,1,1560,0.918048,
1560,1560,2,2,1560,1.91866,
1560,1560,3,3,1560,2.91893,
1560,1560,4,4,1560,3.91894,
1560,1560,5,5,1560,4.91565,
1560,1560,6,6,1560,5.91825,
1565,1565,-7,6,1565,5.92637,
1565,1565,-6,-5.97,1565,-6.0713,
1565,1565,-5,-5.02,1565,-5.1107,
1565,1565,-4,-3.99,1565,-4.0766,
1565,1565,-3,-3,1565,-3.08158,
1565,1565,-2,-2.01,1565,-2.09041,
1565,1565,-1,-1,1565,-1.07922,
1565,1565,0,0,1565,-0.0811549,
1565,1565,1,1,1565,0.924055,
1565,1565,2,2,1565,1.92473,
1565,1565,3,3,1565,2.92513,
1565,1565,4,4,1565,3.92522,
1565,1565,5,5,1565,4.92217,
1565,1565,6,6,1565,5.92465,
1570,1570,-7,6,1570,5.93517,
1570,1570,-6,-5.97,1570,-6.06108,
1570,1570,-5,-5.02,1570,-5.10119,
1570,1570,-4,-4,1570,-4.06766,
1570,1570,-3,-3,1570,-3.07312,
1570,1570,-2,-2.01,1570,-2.08215,
1570,1570,-1,-1,1570,-1.07148,
1570,1570,0,0,1570,-0.0735632,
1570,1570,1,1,1570,0.931309,
1570,1570,2,2,1570,1.93189,
1570,1570,3,3,1570,2.93205,
1570,1570,4,4,1570,3.93211,
1570,1570,5,5,1570,4.92871,
1570,1570,6,6,1570,5.9312,
1575,1575,-7,6,1575,5.92301,
1575,1575,-6,-5.97,1575,-6.06599,
1575,1575,-5,-5.02,1575,-5.1062,
1575,1575,-4,-3.99,1575,-4.07353,
1575,1575,-3,-3,1575,-3.07922,
1575,1575,-2,-2.01,1575,-2.08883,
1575,1575,-1,-1,1575,-1.07838,
1575,1575,0,0,1575,-0.0806372,
1575,1575,1,1,1575,0.924241,
1575,1575,2,2,1575,1.92467,
1575,1575,3,3,1575,2.92495,
1575,1575,4,4,1575,3.92483,
1575,1575,5,5,1575,4.92141,
1575,1575,6,6,1575,5.92391,
1580,1580,-7,6,1580,5.91504,
1580,1580,-6,-5.97,1580,-6.08189,
1580,1580,-5,-5.02,1580,-5.12077,
1580,1580,-4,-4,1580,-4.08705,
1580,1580,-3,-3,1580,-3.09224,
1580,1580,-2,-2.01,1580,-2.10151,
1580,1580,-1,-1,1580,-1.0904,
1580,1580,0,0,1580,-0.0925409,
1580,1580,1,1,1580,0.912557,
1580,1580,2,2,1580,1.91312,
1580,1580,3,3,1580,2.91348,
1580,1580,4,4,1580,3.9136,
1580,1580,5,5,1580,4.91039,
1580,1580,6,6,1580,5.91293,
1585,1585,-7,6,1585,5.88644,
1585,1585,-6,-5.97,1585,-6.11005,
1585,1585,-5,-5.03,1585,-5.14834,
1585,1585,-4,-4,1585,-4.11421,
1585,1585,-3,-3,1585,-3.1187,
1585,1585,-2,-2.01,1585,-2.12734,
1585,1585,-1,-1,1585,-1.11619,
1585,1585,0,-0.01,1585,-0.118031,
1585,1585,1,1,1585,0.887281,
1585,1585,2,2,1585,1.88791,
1585,1585,3,3,1585,2.88851,
1585,1585,4,4,1585,3.88866,
1585,1585,5,5,1585,4.88549,
1585,1585,6,6,1585,5.88813,
1590,1590,-7,6,1590,5.87334,
1590,1590,-6,-5.97,1590,-6.12027,
1590,1590,-5,-5.02,1590,-5.15878,
1590,1590,-4,-4,1590,-4.12455,
1590,1590,-3,-3,1590,-3.12937,
1590,1590,-2,-2.01,1590,-2.13824,
1590,1590,-1,-1,1590,-1.12717,
1590,1590,0,0,1590,-0.129175,
1590,1590,1,1,1590,0.875937,
1590,1590,2,2,1590,1.87677,
1590,1590,3,3,1590,2.87725,
1590,1590,4,4,1590,3.8774,
1590,1590,5,5,1590,4.87428,
1590,1590,6,6,1590,5.877,
1595,1595,-7,6,1595,5.88662,
1595,1595,-6,-5.97,1595,-6.10528,
1595,1595,-5,-5.03,1595,-5.1448,
1595,1595,-4,-4,1595,-4.11123,
1595,1595,-3,-3,1595,-3.11671,
1595,1595,-2,-2.01,1595,-2.12613,
1595,1595,-1,-1,1595,-1.1154,
1595,1595,0,0,1595,-0.11756,
1595,1595,1,1,1595,0.887359,
1595,1595,2,2,1595,1.88796,
1595,1595,3,3,1595,2.88825,
1595,1595,4,4,1595,3.88842,
1595,1595,5,5,1595,4.88518,
1595,1595,6,6,1595,5.88786,
1600,1600,-7,6,1600,5.89138,
1600,1600,-6,-5.97,1600,-6.10168,
1600,1600,-5,-5.03,1600,-5.14007,
1600,1600,-4,-3.99,1600,-4.10586,
1600,1600,-3,-3,1600,-3.11058,
1600,1600,-2,-2.01,1600,-2.11948,
1600,1600,-1,-1,1600,-1.10818,
1600,1600,0,-0.01,1600,-0.110135,
1600,1600,1,1,1600,0.89507,
1600,1600,2,2,1600,1.89591,
1600,1600,3,3,1600,2.89625,
1600,1600,4,4,1600,3.89659,
1600,1600,5,5,1600,4.89365,
1600,1600,6,6,1600,5.89635,
1605,1605,-7,6,1605,5.91492,
1605,1605,-6,-5.97,1605,-6.07349,
1605,1605,-5,-5.02,1605,-5.11224,
1605,1605,-4,-4,1605,-4.07806,
1605,1605,-3,-3,1605,-3.08268,
1605,1605,-2,-2.01,1605,-2.09163,
1605,1605,-1,-1,1605,-1.08048,
1605,1605,0,0,1605,-0.0823255,
1605,1605,1,1,1605,0.922886,
1605,1605,2,2,1605,1.92376,
1605,1605,3,3,1605,2.92443,
1605,1605,4,4,1605,3.92461,
1605,1605,5,5,1605,4.9215,
1605,1605,6,6,1605,5.92411,
1610,1610,-7,6,1610,5.91159,
1610,1610,-6,-5.97,1610,-6.07823,
1610,1610,-5,-5.02,1610,-5.11583,
1610,1610,-4,-4,1610,-4.08143,
1610,1610,-3,-3,1610,-3.08608,
1610,1610,-2,-2.01,1610,-2.09453,
1610,1610,-1,-1,1610,-1.08355,
1610,1610,0,0,1610,-0.0853761,
1610,1610,1,1,1610,0.919805,
1610,1610,2,2,1610,1.92069,
1610,1610,3,3,1610,2.92199,
1610,1610,4,4,1610,3.92219,
1610,1610,5,5,1610,4.91904,
1610,1610,6,6,1610,5.92156,
1615,1615,-7,6,1615,5.91943,
1615,1615,-6,-5.97,1615,-6.0645,
1615,1615,-5,-5.02,1615,-5.10238,
1615,1615,-4,-3.99,1615,-4.06807,
1615,1615,-3,-3,1615,-3.07243,
1615,1615,-2,-2.01,1615,-2.08117,
1615,1615,-1,-1,1615,-1.06988,
1615,1615,0,0,1615,-0.0716815,
1615,1615,1,1,1615,0.933667,
1615,1615,2,2,1615,1.93445,
1615,1615,3,3,1615,2.93619,
1615,1615,4,4,1615,3.93655,
1615,1615,5,5,1615,4.93355,
1615,1615,6,6,1615,5.93609,
1620,1620,-7,6,1620,5.93189,
1620,1620,-6,-5.97,1620,-6.06336,
1620,1620,-5,-5.02,1620,-5.09953,
1620,1620,-4,-3.99,1620,-4.06349,
1620,1620,-3,-3,1620,-3.06673,
1620,1620,-2,-2.01,1620,-2.07435,
1620,1620,-1,-1,1620,-1.0621,
1620,1620,0,0,1620,-0.0632323,
1620,1620,1,1,1620,0.942761,
1620,1620,2,2,1620,1.94403,
1620,1620,3,3,1620,2.94504,
1620,1620,4,4,1620,3.94599,
1620,1620,5,5,1620,4.94352,
1620,1620,6,6,1620,5.94671,
1625,1625,-7,6,1625,5.92305,
1625,1625,-6,-5.97,1625,-6.06586,
1625,1625,-5,-5.02,1625,-5.10169,
1625,1625,-4,-4,1625,-4.06526,
1625,1625,-3,-3,1625,-3.06828,
1625,1625,-2,-2.01,1625,-2.07573,
1625,1625,-1,-1,1625,-1.06371,
1625,1625,0,0,1625,-0.0646696,
1625,1625,1,1,1625,0.941219,
1625,1625,2,2,1625,1.94266,
1625,1625,3,3,1625,2.94177,
1625,1625,4,4,1625,3.9429,
1625,1625,5,5,1625,4.94078,
1625,1625,6,6,1625,5.94464,
1630,1630,-7,6,1630,5.91702,
1630,1630,-6,-5.97,1630,-6.0615,
1630,1630,-5,-5.03,1630,-5.09859,
1630,1630,-4,-3.99,1630,-4.06349,
1630,1630,-3,-3,1630,-3.06754,
1630,1630,-2,-2.01,1630,-2.07607,
1630,1630,-1,-1,1630,-1.06437,
1630,1630,0,0,1630,-0.0658321,
1630,1630,1,1,1630,0.93981,
1630,1630,2,2,1630,1.94074,
1630,1630,3,3,1630,2.93948,
1630,1630,4,4,1630,3.94006,
1630,1630,5,5,1630,4.93745,
1630,1630,6,6,1630,5.94096,
1635,1635,-7,6,1635,5.91648,
1635,1635,-6,-5.97,1635,-6.05852,
1635,1635,-5,-5.03,1635,-5.09614,
1635,1635,-4,-3.99,1635,-4.06091,
1635,1635,-3,-3,1635,-3.06467,
1635,1635,-2,-2.01,1635,-2.07268,
1635,1635,-1,-1,1635,-1.0609,
1635,1635,0,0,1635,-0.0623894,
1635,1635,1,1,1635,0.943247,
1635,1635,2,2,1635,1.94426,
1635,1635,3,3,1635,2.94736,
1635,1635,4,4,1635,3.947,
1635,1635,5,5,1635,4.94331,
1635,1635,6,6,1635,5.94555,
1640,1640,-7,6,1640,5.90285,
1640,1640,-6,-5.97,1640,-6.0743,
1640,1640,-5,-5.02,1640,-5.11241,
1640,1640,-4,-3.99,1640,-4.07793,
1640,1640,-3,-3,1640,-3.08229,
1640,1640,-2,-2.01,1640,-2.09092,
1640,1640,-1,-1,1640,-1.07939,
1640,1640,0,0,1640,-0.0812001,
1640,1640,1,1,1640,0.924146,
1640,1640,2,2,1640,1.92525,
1640,1640,3,3,1640,2.9369,
1640,1640,4,4,1640,3.9357,
1640,1640,5,5,1640,4.93081,
1640,1640,6,6,1640,5.93146,
1645,1645,-7,6,1645,5.89779,
1645,1645,-6,-5.97,1645,-6.09223,
1645,1645,-5,-5.03,1645,-5.1302,
1645,1645,-4,-4,1645,-4.09529,
1645,1645,-3,-3,1645,-3.09971,
1645,1645,-2,-2.01,1645,-2.10825,
1645,1645,-1,-1,1645,-1.09682,
1645,1645,0,0,1645,-0.0984769,
1645,1645,1,1,1645,0.906925,
1645,1645,2,2,1645,1.90796,
