SWITCH CHANNEL,T100 POWER,T100 WAVELENGTH,BRISTOL WAVELENGTH,POWER METER POWER
4,0.81,1465,0000.0000,-3.61681
4,0.94,1466,0000.0000,-3.66116
4,0.9,1467,0000.0000,-3.6223
4,0.94,1468,0000.0000,-3.54594
4,1.02,1469,0000.0000,-3.66402
4,0.9,1470,0000.0000,-3.56789
4,1,1471,0000.0000,-3.7036
4,0.87,1472,0000.0000,-3.59455
4,0.99,1473,0000.0000,-3.62184
4,0.96,1474,0000.0000,-3.59622
4,0.99,1475,0000.0000,-3.56067
4,1.02,1476,0000.0000,-3.649
4,0.94,1477,0000.0000,-3.59858
4,0.99,1478,0000.0000,-3.66243
4,0.93,1479,0000.0000,-3.54593
4,1.04,1480,0000.0000,-3.59167
4,0.99,1481,0000.0000,-3.53702
4,1.04,1482,0000.0000,-3.61177
4,0.96,1483,0000.0000,-3.6297
4,0.94,1484,1536.3091,-3.59999
4,0.96,1485,0000.0000,-3.64448
4,0.91,1486,0000.0000,-3.50965
4,1.04,1487,0000.0000,-3.63353
4,0.91,1488,0000.0000,-3.55832
4,0.99,1489,0000.0000,-3.65637
4,0.88,1490,0000.0000,-3.64164
4,0.9,1491,0000.0000,-3.57172
4,0.96,1492,0000.0000,-3.64169
4,0.88,1493,0000.0000,-3.5111
4,1.01,1494,0000.0000,-3.67631
4,0.85,1495,0000.0000,-3.61423
4,0.91,1496,0000.0000,-3.66805
4,0.86,1497,0000.0000,-3.66764
4,0.86,1498,0000.0000,-3.59006
4,0.94,1499,0000.0000,-3.70368
4,0.82,1500,1500.1281,-3.58387
4,0.94,1501,1501.1153,-3.74368
4,0.78,1502,1502.1039,-3.67659
4,0.85,1503,1503.0915,-3.67685
4,0.85,1504,1504.1016,-3.68851
4,0.83,1505,1505.0916,-3.611
4,0.91,1506,1506.0946,-3.74906
4,0.77,1507,1507.0897,-3.66177
4,0.85,1508,1508.0819,-3.73621
4,0.77,1509,1509.0869,-3.6827
4,0.82,1510,1510.0870,-3.62933
4,0.87,1511,1511.0933,-3.69164
4,0.81,1512,1512.0971,-3.62292
4,0.87,1513,1513.0854,-3.74911
4,0.74,1514,1514.0952,-3.69004
4,0.79,1515,1515.0912,-3.69185
4,0.79,1516,1516.0965,-3.68031
4,0.81,1517,1517.0993,-3.5738
4,0.91,1518,1518.1258,-3.69027
4,0.79,1519,1519.1141,-3.63861
4,0.85,1520,1520.1096,-3.73286
4,0.76,1521,1521.0941,-3.70945
4,0.78,1522,1522.0972,-3.62142
4,0.87,1523,1523.0998,-3.66156
4,0.83,1524,1524.0934,-3.53061
4,0.96,1525,1525.0890,-3.65322
4,0.85,1526,1526.0819,-3.62894
4,0.87,1527,1527.0810,-3.64163
4,0.86,1528,1528.0777,-3.65154
4,0.85,1529,1529.0761,-3.54934
4,0.95,1530,1530.0788,-3.60517
4,0.89,1531,1531.0770,-3.58015
4,0.92,1532,1532.0817,-3.64465
4,0.86,1533,1533.0848,-3.68739
4,0.82,1534,1534.0811,-3.64836
4,0.86,1535,1535.0790,-3.64869
4,0.86,1536,1536.0804,-3.62177
4,0.88,1537,1537.0906,-3.60664
4,0.9,1538,1538.0909,-3.7075
4,0.79,1539,1539.0993,-3.64987
4,0.85,1540,1540.1008,-3.75788
4,0.74,1541,1541.1018,-3.67205
4,0.82,1542,1542.0975,-3.62507
4,0.86,1543,1543.0989,-3.65767
4,0.82,1544,1544.0944,-3.56073
4,0.91,1545,1545.0908,-3.69011
4,0.78,1546,1546.0807,-3.60634
4,0.86,1547,1547.0749,-3.63171
4,0.83,1548,1548.0731,-3.60435
4,0.86,1549,1549.0736,-3.49929
4,0.96,1550,1550.0819,-3.55147
4,0.91,1551,1551.0802,-3.54928
4,0.91,1552,1552.0852,-3.59941
4,0.86,1553,1553.0870,-3.6649
4,0.79,1554,1554.0781,-3.59707
4,0.86,1555,1555.0824,-3.63692
4,0.82,1556,1556.0764,-3.60714
4,0.85,1557,1557.0858,-3.59324
4,0.86,1558,1558.0871,-3.72115
4,0.73,1559,1559.0887,-3.66304
4,0.78,1560,1560.0837,-3.74195
4,0.7,1561,1561.0748,-3.69695
4,0.74,1562,1562.0669,-3.60481
4,0.83,1563,1563.0663,-3.6801
4,0.75,1564,1564.0580,-3.57312
4,0.86,1565,1565.0535,-3.68972
4,0.74,1566,1566.0481,-3.68809
4,0.74,1567,1567.0497,-3.63637
4,0.79,1568,1568.0491,-3.64879
4,0.78,1569,1569.0490,-3.55828
4,0.87,1570,1570.0529,-3.53696
4,0.9,1571,1571.0490,-3.63053
4,0.81,1572,1572.0441,-3.57608
4,0.86,1573,1573.0384,-3.71013
4,0.73,1574,1574.0375,-3.66885
4,0.77,1575,1575.0385,-3.64448
