T100 WAVELENGTH,T100 POWER,POWER METER READING
1520,-0.01,0.30609
1520,0.08,0.401409
1520,0.19,0.508675
1520,0.3,0.614423
1520,0.39,0.701801
1520,0.49,0.801725
1520,0.59,0.898868
1520,0.7,1.00862
1520,0.79,1.1016
1520,0.89,1.20508
1520,1,1.30722
1520,1.1,1.40639
1520,1.2,1.50335
1520,1.29,1.5983
1520,1.39,1.70243
1520,1.5,1.80374
1520,1.6,1.90442
1520,1.7,2.00122
1520,1.79,2.09659
1520,1.9,2.20027
1520,2,2.30221
1520,2.1,2.40097
1520,2.2,2.49794
1520,2.3,2.60104
1520,2.4,2.6935
1520,2.49,2.79286
1520,2.6,2.89814
1520,2.7,2.99237
1520,2.8,3.0935
1520,2.9,3.19254
1520,3,3.29718
1520,3.1,3.39162
1520,3.2,3.49106
1520,3.31,3.59642
1520,3.4,3.69166
1520,3.5,3.79215
1520,3.6,3.88993
1520,3.7,3.99226
1520,3.8,4.09294
1520,3.9,4.1907
1520,4.01,4.2932
1520,4.1,4.3927
1520,4.2,4.49071
1520,4.31,4.59173
1520,4.4,4.69056
1520,4.5,4.78746
1520,4.6,4.88813
1520,4.71,4.99151
1520,4.8,5.08692
1520,4.91,5.19101
1520,5,5.28731
1520,5.1,5.38647
1520,5.2,5.48832
1520,5.3,5.58767
1520,5.41,5.68902
1520,5.51,5.78833
1520,5.6,5.88554
1520,5.7,5.98413
1520,5.8,6.0856
1520,5.9,6.18306
1520,5.99,6.27726
1520,6.14,6.91495
1520,6.21,6.4885
1520,6.31,6.58983
1520,6.41,6.68882
1520,6.51,6.78579
1520,6.61,6.88765
1520,6.71,6.98707
1520,6.81,7.08818
1520,6.91,7.18624
1520,7.01,7.28559
1520,7.11,7.38615
1520,7.21,7.48664
1520,7.31,7.58545
1520,7.41,7.68431
1520,7.5,7.78269
1520,7.6,7.88078
1520,7.46,7.7503
1520,6.93,7.23441
1520,6.57,6.85541
1520,8.02,8.31571
1520,8.11,8.38961
1520,8.21,8.48669
1520,8.3,8.57868
1520,8.02,8.29672
1520,7.78,8.07515
1520,7.61,7.89057
1520,7.47,7.75865
1520,7.37,7.64415
1520,7.27,7.55418
1520,7.2,7.47805
1520,7.14,7.42282
1520,7.1,7.3768
1520,7.06,7.34046
1520,7.02,7.30444
1520,6.99,7.27232
1520,6.97,7.24773
1520,6.95,7.22212
1520,6.93,7.20461
1520,6.91,7.18652
1520,6.89,7.1698
