T100 WAVELENGTH,T100 POWER,BRISTOL WAVELENGTH,BRISTOL POWER,POWER METER POWER
1310,-0.01,1310.0776,-0.940,+6.42071800E-010
1310,-0.01,1310.0784,-0.940,+6.42172000E-010
1310,-0.01,1310.0788,-0.960,+6.42188600E-010
1310,-0.01,1310.0789,-0.930,+6.42009600E-010
1310,-0.01,1310.0790,-0.960,+6.42061800E-010
1310,-0.01,1310.0790,-0.980,+6.44324500E-010
1310,-0.01,1310.0790,-0.860,+6.45903800E-010
1310,-0.01,1310.0789,-0.930,+6.46031600E-010
1310,-0.01,1310.0788,-0.920,+6.45907000E-010
1310,-0.01,1310.0788,-0.960,+6.45602700E-010
1310,-0.01,1310.0787,-0.920,+6.45143300E-010
1310,-0.01,1310.0787,-0.960,+6.43141600E-010
1310,-0.01,1310.0786,-0.920,+6.41951000E-010
1310,-0.01,1310.0785,-0.940,+6.44752000E-010
1310,-0.01,1310.0785,-0.970,+6.45046700E-010
1310,-0.01,1310.0784,-0.900,+6.45762800E-010
1310,-0.01,1310.0783,-0.930,+6.45132100E-010
1310,-0.01,1310.0782,-0.920,+6.47284600E-010
1310,-0.01,1310.0782,-0.950,+6.47345800E-010
1310,-0.01,1310.0781,-0.930,+6.46995000E-010
1310,-0.01,1310.0780,-1.010,+6.47349800E-010
1310,-0.01,1310.0780,-0.930,+6.47423600E-010
1310,-0.01,1310.0779,-0.930,+6.47166900E-010
1310,-0.01,1310.0778,-0.960,+6.46855200E-010
1310,-0.01,1310.0777,-0.960,+6.47382100E-010
1310,-0.01,1310.0777,-0.980,+6.47571100E-010
1310,-0.01,1310.0776,-0.970,+6.47486500E-010
1310,-0.01,1310.0775,-0.960,+6.47294200E-010
1310,-0.01,1310.0775,-0.990,+6.47111200E-010
1310,-0.01,1310.0774,-0.970,+6.47665700E-010
1310,-0.01,1310.0773,-1.020,+6.47022300E-010
1310,-0.01,1310.0773,-0.970,+6.47345200E-010
1310,-0.01,1310.0772,-0.970,+6.47400700E-010
1310,-0.01,1310.0771,-1.000,+6.47543200E-010
1310,-0.01,1310.0771,-0.930,+6.47571300E-010
1310,-0.01,1310.0770,-0.960,+6.47098800E-010
1310,-0.01,1310.0769,-0.950,+6.47659300E-010
1310,-0.01,1310.0768,-1.150,+6.47044300E-010
1310,-0.01,1310.0768,-1.170,+6.47322800E-010
1310,-0.01,1310.0767,-1.150,+6.47511400E-010
1310,-0.01,1310.0766,-1.200,+6.47261900E-010
1310,-0.01,1310.0766,-1.170,+6.47006900E-010
1310,-0.01,1310.0765,-1.200,+6.47012000E-010
1310,-0.01,1310.0764,-1.170,+6.47428700E-010
1310,-0.01,1310.0764,-1.170,+6.47123200E-010
1310,-0.01,1310.0763,-1.150,+6.47415400E-010
1310,-0.01,1310.0762,-1.220,+6.47069700E-010
1310,-0.01,1310.0761,-1.130,+6.47141200E-010
1310,-0.01,1310.0761,-1.170,+6.46817800E-010
1310,-0.01,1310.0760,-1.130,+6.47288200E-010
1310,-0.01,1310.0759,-1.170,+6.46896200E-010
1310,-0.01,1310.0759,-0.980,+6.47137000E-010
1310,-0.01,1310.0758,-1.120,+6.47090500E-010
1310,-0.01,1310.0757,-0.980,+6.47017600E-010
1310,-0.01,1310.0757,-0.970,+6.46891000E-010
1310,-0.01,1310.0756,-0.950,+6.47204400E-010
1310,-0.01,1310.0755,-0.970,+6.46481600E-010
