T100 WAVELENGTH,T100 POWER,BRISTOL WAVELENGTH,BRISTOL POWER,POWER METER POWER
1470,-0.05,1470.0646,-0.380,+6.35274100E-010
1470,-0.05,1470.0645,-0.290,+6.35247700E-010
1470,-0.05,1470.0645,-0.290,+6.35144500E-010
1470,-0.04,1470.0644,-0.320,+6.34385800E-010
1470,-0.04,1470.0644,-0.340,+6.34740300E-010
1470,-0.04,1470.0644,-0.360,+6.34856900E-010
1470,-0.04,1470.0643,-0.340,+6.34963700E-010
1470,-0.04,1470.0643,-0.350,+6.34953500E-010
1470,-0.04,1470.0642,-0.320,+6.34750100E-010
1470,-0.05,1470.0642,-0.370,+6.34631600E-010
1470,-0.05,1470.0642,-0.340,+6.34324000E-010
1470,-0.05,1470.0641,-0.330,+6.34796500E-010
1470,-0.04,1470.0641,-0.320,+6.33884400E-010
1470,-0.05,1470.0640,-0.350,+6.34828700E-010
1470,-0.05,1470.0640,-0.330,+6.34220600E-010
1470,-0.05,1470.0640,-0.350,+6.33935200E-010
1470,-0.05,1470.0639,-0.320,+6.34181500E-010
1470,-0.05,1470.0639,-0.350,+6.33847600E-010
1470,-0.05,1470.0638,-0.360,+6.33794500E-010
1470,-0.05,1470.0638,-0.400,+6.33515600E-010
1470,-0.05,1470.0638,-0.360,+6.33732300E-010
1470,-0.05,1470.0637,-0.350,+6.33514200E-010
1470,-0.05,1470.0637,-0.350,+6.33362400E-010
1470,-0.05,1470.0637,-0.400,+6.33038400E-010
1470,-0.05,1470.0636,-0.310,+6.32975800E-010
1470,-0.05,1470.0636,-0.360,+6.33178700E-010
1470,-0.05,1470.0635,-0.350,+6.32802400E-010
1470,-0.04,1470.0635,-0.380,+6.33020200E-010
1470,-0.05,1470.0634,-0.330,+6.33543400E-010
1470,-0.05,1470.0634,-0.330,+6.33076900E-010
1470,-0.04,1470.0633,-0.350,+6.32654600E-010
1470,-0.05,1470.0633,-0.400,+6.33164000E-010
1470,-0.04,1470.0633,-0.330,+3.71501000E-011
1470,-0.05,1470.0632,-0.350,+3.72278300E-011
1470,-0.04,1470.0632,-0.330,+3.72394100E-011
1470,-0.04,1470.0631,-0.330,+3.69907800E-011
1470,-0.04,1470.0631,-0.330,+3.71177200E-011
1470,-0.05,1470.0630,-0.380,+3.72824700E-011
1470,-0.05,1470.0630,-0.310,+3.69562300E-011
1470,-0.05,1470.0630,-0.360,+3.69772300E-011
1470,-0.04,1470.0629,-0.370,+3.68839400E-011
1470,-0.04,1470.0629,-0.340,+3.68556500E-011
1470,-0.04,1470.0629,-0.360,+3.72669200E-011
1470,-0.05,1470.0628,-0.360,+3.72280900E-011
1470,-0.05,1470.0628,-0.330,+3.72889600E-011
1470,-0.05,1470.0627,-0.310,+3.72282100E-011
1470,-0.04,1470.0627,-0.310,+3.71041900E-011
1470,-0.05,1470.0626,-0.360,+3.69571600E-011
1470,-0.04,1470.0626,-0.340,+3.73030700E-011
1470,-0.04,1470.0625,-0.360,+3.73888600E-011
1470,-0.05,1470.0625,-0.340,+3.72648600E-011
1470,-0.04,1470.0624,-0.400,+3.68084500E-011
1470,-0.04,1470.0624,-0.360,+3.70095900E-011
1470,-0.05,1470.0623,-0.420,+3.70513700E-011
1470,-0.05,1470.0623,-0.370,+3.67754300E-011
1470,-0.05,1470.0622,-0.340,+3.71001600E-011
1470,-0.04,1470.0622,-0.410,+3.70024500E-011
1470,-0.05,1470.0622,-0.310,+3.69173500E-011
1470,-0.05,1470.0621,-0.380,+3.70000000E-011
1470,-0.04,1470.0621,-0.370,+3.70490100E-011
1470,-0.04,1470.0620,-0.400,+3.69932400E-011
1470,-0.04,1470.0620,-0.400,+3.72676400E-011
1470,-0.05,1470.0620,-0.380,+3.69373300E-011
1470,-0.04,1470.0619,-0.360,+3.66814600E-011
1470,-0.04,1470.0619,-0.450,+3.68530700E-011
1470,-0.04,1470.0618,-0.380,+3.70624100E-011
1470,-0.04,1470.0618,-0.370,+3.70710700E-011
1470,-0.04,1470.0617,-0.410,+3.69288700E-011
1470,-0.04,1470.0617,-0.380,+3.68097200E-011
1470,-0.04,1470.0616,-0.350,+3.70361700E-011
1470,-0.04,1470.0616,-0.410,+3.71453000E-011
1470,-0.04,1470.0615,-0.320,+3.71225700E-011
1470,-0.05,1470.0615,-0.380,+3.71154500E-011
1470,-0.05,1470.0615,-0.330,+3.69921000E-011
1470,-0.05,1470.0614,-0.350,+3.70719100E-011
1470,-0.05,1470.0614,-0.400,+3.70324000E-011
1470,-0.05,1470.0613,-0.380,+3.70201100E-011
1470,-0.05,1470.0613,-0.350,+3.70737100E-011
1470,-0.04,1470.0612,-0.440,+3.72016200E-011
1470,-0.05,1470.0612,-0.330,+3.73944500E-011
1470,-0.05,1470.0611,-0.260,+3.71738400E-011
1470,-0.04,1470.0611,-0.340,+3.69794400E-011
1470,-0.05,1470.0611,-0.310,+3.69137900E-011
1470,-0.04,1470.0610,-0.360,+3.71608900E-011
